Timestamp,No.,Ticker,Company,Country,Market Cap,P/E,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Interest,Performance (1 Minute),Performance (2 Minutes),Performance (3 Minutes),Performance (5 Minutes),Performance (15 Minutes),Performance (30 Minutes),Performance (1 Hour),Performance (2 Hours),Performance (4 Hours),Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,Earnings Date,Change from Open,Gap,Average Volume,Relative Volume,Volume,Prev Close,High,Low,Price,Change,After-Hours Close,After-Hours Change
2024-07-19 06:14:19,6,SGD,Safe and Green Development Corp,USA,6.83,,8.94,44.26%,0.00%,1.69%,,4.79%,0.43,0.00%,-0.21%,-0.14%,1.33%,-5.49%,-5.49%,-5.49%,-5.49%,-5.49%,6.97%,-0.12%,-32.44%,-40.91%,,-69.60%,0.04,10.54%,7.45%,5.15%,-11.73%,-56.97%,,-3.93%,19.79%,3502.27,34.14,5978679,0.37,0.45,0.41,0.43,15.09%,,
2024-07-19 06:14:19,7,SXTP,60 Degrees Pharmaceuticals Inc,USA,3.92,,9.32,23.67%,8.48%,3.98%,,2.95%,0.27,-0.16%,-0.16%,-1.08%,-1.44%,-5.45%,-5.45%,-5.45%,-5.45%,-5.45%,30.84%,20.07%,30.33%,-56.18%,-90.27%,-68.51%,0.03,7.88%,9.38%,28.71%,21.64%,-31.56%,5/15/2024 8:30:00 AM,-5.78%,38.58%,760.44,173.93,6613147,0.25,0.37,0.31,0.32,30.57%,,
2024-07-19 06:14:19,8,UNCY,Unicycive Therapeutics Inc,USA,37.01,,63.30,26.12%,0.00%,21.53%,-2.92%,2.32%,1.47,-0.83%,-0.83%,-0.69%,-1.82%,-1.82%,-1.82%,-1.82%,-1.82%,-1.82%,-12.71%,-33.11%,-60.37%,-49.75%,-65.44%,-50.21%,0.06,10.08%,14.78%,-13.82%,-41.40%,-52.85%,5/13/2024 4:30:00 PM,-1.82%,8.00%,889.21,9.13,405801,0.41,0.44,0.43,0.43,6.04%,,
2024-07-19 06:29:19,1,HE,"Hawaiian Electric Industries, Inc.",USA,1919.22,10.26,109.90,0.36%,0.00%,58.56%,0.37%,22.81%,25.07,0.58%,0.58%,-0.29%,-0.68%,-1.14%,-3.06%,-3.06%,-3.06%,-3.06%,66.83%,85.11%,70.42%,34.36%,-54.95%,22.62%,1.04,8.91%,7.02%,79.16%,70.70%,46.29%,5/10/2024 4:30:00 PM,-0.80%,37.57%,3368.35,2.23,374738,12.75,17.95,17.24,17.40,36.47%,,
2024-07-19 06:29:19,2,NAAS,Naas Technology Inc ADR,China,36.29,,4.15,0.95%,0.00%,13.63%,-49.55%,1.72%,0.07,0.12%,0.12%,0.46%,-0.80%,-0.80%,-1.14%,-1.14%,-1.14%,-1.14%,105.70%,53.55%,-57.96%,-63.31%,-91.32%,-71.51%,1.35,58.80%,35.74%,128.35%,17.71%,-70.46%,5/9/2024 4:30:00 PM,-2.70%,10.01%,2098.54,4.51,473095,8.09,8.99,8.60,8.66,7.05%,,
2024-07-19 06:29:19,3,NVOS,Novo Integrated Sciences Inc,USA,12.02,,15.67,6.82%,0.00%,5.17%,8.10%,6.23%,0.98,-0.42%,-0.42%,0.04%,0.04%,0.70%,-1.39%,-1.39%,-1.39%,-1.39%,32.63%,-12.69%,53.30%,4.49%,-39.92%,-12.91%,0.10,10.92%,13.29%,4.79%,2.13%,-34.25%,1/22/2024 4:30:00 PM,-3.14%,22.56%,7059.19,3.24,1144735,0.60,0.74,0.69,0.71,18.71%,,
2024-07-19 06:29:19,4,S,SentinelOne Inc,USA,6651.62,,262.98,15.95%,-2.79%,58.82%,10.89%,4.31%,11.33,0.00%,0.00%,-0.14%,-0.84%,-1.30%,-1.85%,-1.85%,-1.85%,-1.85%,4.52%,17.07%,3.15%,-14.00%,37.07%,-22.52%,0.89,4.40%,3.84%,5.85%,6.54%,-2.77%,5/30/2024 4:30:00 PM,-1.94%,7.65%,4701.74,2.25,529930,20.14,21.68,21.24,21.26,5.56%,,
2024-07-19 06:29:19,5,SERV,Serve Robotics Inc,USA,175.85,,23.48,36.70%,0.46%,,,5.50%,1.29,0.00%,0.85%,-0.21%,-0.63%,-0.21%,0.21%,0.21%,0.21%,0.21%,106.99%,131.22%,52.41%,,,-81.04%,0.45,9.32%,11.78%,122.01%,86.93%,26.28%,05/29/2024,6.04%,69.96%,638.12,159.71,5095870,2.63,4.93,4.47,4.74,80.23%,,
2024-07-19 06:29:19,6,SGD,Safe and Green Development Corp,USA,6.54,,8.94,44.26%,0.00%,1.69%,,4.79%,0.43,-0.02%,-0.49%,-2.16%,-2.30%,-5.07%,-9.39%,-9.39%,-9.39%,-9.39%,2.55%,-4.25%,-35.24%,-43.35%,,-70.86%,0.04,10.54%,7.45%,0.80%,-15.38%,-58.75%,,-7.90%,19.79%,3502.27,35.69,6248923,0.37,0.45,0.41,0.41,10.33%,,
2024-07-19 06:29:19,7,SXTP,60 Degrees Pharmaceuticals Inc,USA,5.30,,9.32,23.67%,8.48%,3.98%,,2.95%,0.27,1.62%,6.56%,24.09%,32.39%,33.08%,27.67%,27.67%,27.67%,27.67%,76.66%,62.13%,75.98%,-40.83%,-86.86%,-57.48%,0.04,7.88%,9.38%,73.79%,64.24%,-7.59%,5/15/2024 8:30:00 AM,27.22%,38.58%,760.44,233.07,8861903,0.25,0.44,0.31,0.43,76.30%,,
