"No.","Ticker","Company","Country","Market Cap","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"CGBS","Crown LNG Holdings Ltd .","United Kingdom",34.29,1.36,84.60%,0.00%,9.76%,-6.10%,0.02%,0.00,0.00%,-0.77%,-1.02%,1.04%,-2.76%,-2.76%,-2.76%,-2.76%,-2.76%,-2.76%,-53.37%,-66.99%,-65.93%,-64.95%,-61.49%,-65.23%,1.75,60.13%,31.70%,-52.44%,-61.79%,-63.77%,,-4.91%,18.66%,321.93,252.79,4069057,3.43,4.07,4.08,3.81,3.87,12.83%,
2,"PHUN","Phunware Inc","USA",63.60,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,-0.50%,-0.38%,-1.00%,-2.22%,-2.22%,-1.74%,-1.74%,-1.74%,-1.74%,-1.74%,37.98%,37.02%,8.94%,110.64%,-60.30%,93.17%,0.57,5.96%,7.59%,41.44%,27.81%,-4.27%,5/9/2024 4:30:00 PM,-3.41%,40.65%,364.42,111.11,2024633,5.83,8.20,8.27,7.88,7.92,35.85%,
3,"CDT","Conduit Pharmaceuticals Inc","USA",21.04,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.07,0.00%,0.00%,-1.11%,-1.11%,-1.11%,-1.11%,-1.11%,-1.11%,-1.11%,-1.11%,-43.00%,-86.74%,-91.04%,-93.64%,-97.28%,-93.74%,0.22,34.09%,31.28%,-72.53%,-86.86%,-90.36%,,-1.11%,9.79%,259.24,7.78,100806,0.26,0.29,0.29,0.28,0.28,8.57%,
4,"DJT","Trump Media & Technology Group Corp.","USA",8623.28,47.29,75.10%,0.00%,1.19%,3.55%,11.04%,5.22,-0.22%,-1.00%,-1.05%,-2.09%,-3.18%,-4.32%,-4.32%,-4.32%,-4.32%,-4.32%,49.74%,10.92%,39.31%,168.32%,247.89%,159.43%,4.44,6.09%,10.69%,39.50%,8.85%,42.29%,5/20/2024 8:30:00 AM,-8.95%,61.41%,6832.51,23.65,8079655,30.89,49.86,49.86,45.40,45.40,46.97%,
5,"RUM","Rumble Inc","USA",1861.79,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,13.80,0.00%,-0.75%,-0.75%,-0.75%,-0.15%,-0.15%,-0.15%,-0.15%,-0.15%,-0.15%,15.59%,13.60%,3.77%,77.90%,-24.83%,46.99%,0.30,3.98%,4.13%,17.64%,5.66%,12.01%,5/14/2024 4:30:00 PM,-2.51%,13.97%,1138.40,8.49,483405,5.94,6.77,6.83,6.60,6.60,11.11%,
