"No.","Ticker","Company","Country","Market Cap","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"IVP","Inspire Veterinary Partners Inc.","USA",10.57,0.95,4.58%,0.00%,1.24%,,39.57%,0.38,0.35%,0.42%,0.78%,0.43%,-0.09%,-0.01%,0.00%,0.61%,-10.29%,27.44%,609.40%,479.18%,113.54%,-41.15%,,-69.34%,1.52,97.88%,46.67%,379.58%,291.52%,-65.40%,,89.09%,0.00%,3201.59,16.46,41790244,5.59,5.59,11.94,5.59,10.57,89.09%,11.60
2,"CGBS","Crown LNG Holdings Ltd .","United Kingdom",30.39,1.36,84.60%,0.00%,9.76%,-6.10%,0.02%,0.00,0.00%,0.00%,0.00%,0.00%,-0.31%,-0.31%,-0.61%,-0.61%,-1.52%,-3.85%,-62.14%,-70.73%,-69.57%,-68.87%,-65.87%,-69.18%,1.84,60.13%,31.70%,-59.89%,-66.65%,-67.99%,,-9.97%,58.09%,321.93,311.88,15755775,2.41,3.81,4.25,3.05,3.43,42.32%,3.25
3,"ABVE","Above Food Ingredients Inc.","Canada",18.40,1.47,81.67%,0.00%,18.13%,5.14%,0.07%,0.00,0.00%,0.00%,-2.20%,-2.20%,-2.20%,-2.20%,0.45%,-2.20%,-2.63%,3.69%,-28.57%,-75.27%,-78.50%,-77.93%,-77.32%,-78.28%,1.35,25.22%,22.06%,-66.82%,-72.27%,-76.99%,,0.00%,2.06%,67.13,65.96,2129964,2.25,2.30,2.40,2.06,2.30,2.06%,2.22
4,"ZAPP","Zapp Electric Vehicles Group Ltd","United Kingdom",35.99,1.47,53.15%,0.00%,8.00%,,18.53%,0.27,0.00%,0.00%,0.00%,0.27%,-0.45%,-0.36%,-0.36%,-0.18%,-1.52%,-5.16%,182.56%,1433.33%,120.81%,85.90%,-71.11%,117.47%,2.43,50.35%,53.83%,186.16%,375.10%,123.64%,6/20/2024 8:30:00 AM,-1.29%,26.63%,7539.90,2.37,17268348,9.20,11.65,13.60,11.00,11.50,25.00%,11.03
5,"AACI","Armada Acquisition Corp I","USA",82.71,1.49,77.83%,0.00%,16.14%,23.59%,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.77%,-0.77%,-0.52%,0.48%,1.31%,1.05%,1.76%,8.16%,14.17%,7.71%,0.11,0.65%,0.73%,1.30%,0.93%,6.02%,,-0.09%,1.13%,32.31,3.31,102715,11.48,11.61,11.65,11.49,11.60,1.05%,11.56
6,"TIL","Instil Bio Inc","USA",82.68,1.64,74.84%,0.00%,26.55%,0.92%,0.46%,0.01,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.47%,-0.55%,-2.92%,28.61%,17.34%,15.01%,66.71%,6.00%,66.93%,0.67,3.50%,5.14%,26.05%,18.61%,32.04%,5/10/2024 8:30:00 AM,4.78%,25.15%,15.92,53.01,462018,9.70,12.14,13.24,12.00,12.72,31.13%,12.72
7,"LPA","Logistic Properties of the Americas","USA",583.78,2.77,91.27%,0.00%,0.68%,334.05%,0.66%,0.02,0.00%,0.12%,0.12%,-0.29%,0.06%,0.17%,-2.82%,-2.65%,-4.22%,-9.78%,78.91%,6.72%,146.12%,73.84%,81.74%,73.84%,14.94,46.09%,24.44%,38.72%,-32.20%,28.47%,,78.22%,5.30%,232.70,60.96,7172167,9.81,10.33,24.51,9.92,18.41,87.67%,17.25
8,"NUTX","Nutex Health Inc","USA",25.10,2.83,43.12%,4.51%,9.93%,,12.82%,0.36,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-3.28%,-2.43%,0.60%,-12.87%,-33.19%,-85.36%,-91.39%,-81.30%,0.57,11.58%,11.59%,-6.45%,-18.23%,-73.65%,5/8/2024 4:30:00 PM,2.43%,3.35%,31.86,3.76,117488,4.77,4.93,5.44,4.58,5.05,5.87%,5.01
9,"NISN","NiSun International Enterprise Development Group Co Ltd","China",36.69,3.04,24.22%,0.00%,4.68%,,0.19%,0.01,0.56%,1.66%,1.66%,0.79%,1.59%,1.59%,-0.34%,1.59%,2.17%,2.64%,115.29%,147.30%,52.75%,91.02%,134.62%,128.75%,1.10,33.89%,17.50%,126.26%,77.45%,114.29%,7/12/2024 8:30:00 AM,2.81%,47.84%,207.80,81.89,7398800,6.02,8.90,12.00,7.63,9.15,51.99%,8.95
10,"BFRG","Bullfrog AI Holdings Inc","USA",20.72,3.29,58.13%,-2.94%,2.15%,,2.97%,0.10,0.00%,0.00%,0.00%,0.00%,-1.45%,-1.07%,0.07%,-2.19%,-0.46%,20.83%,66.04%,-4.69%,-16.72%,-4.00%,-32.82%,-19.02%,0.27,26.48%,13.17%,37.55%,4.84%,-18.24%,,17.33%,2.27%,155.26,10.67,1432122,2.20,2.25,2.84,1.98,2.64,20.00%,2.59
11,"TLGY","TLGY Acquisition Corp","USA",108.62,3.72,60.74%,0.00%,62.32%,16.51%,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.35%,2.43%,6.60%,14.02%,3.52%,0.02,0.05%,0.06%,0.22%,0.76%,5.14%,,0.00%,0.17%,24.13,10.47,200003,11.45,11.47,11.47,11.47,11.47,0.17%,11.50
12,"QTTB","Q32 Bio Inc.","USA",313.07,3.85,67.76%,-0.17%,8.46%,-18.57%,1.69%,0.06,0.00%,0.00%,0.00%,3.70%,3.70%,3.70%,3.70%,1.20%,2.54%,6.81%,36.42%,31.36%,10.12%,136.47%,58.33%,139.58%,2.18,12.70%,10.96%,44.95%,13.03%,48.56%,5/9/2024 8:30:00 AM,16.53%,0.27%,67.48,3.29,224314,22.44,22.50,26.84,22.50,26.22,16.84%,26.66
13,"SDST","Stardust Power Inc.","USA",70.88,4.30,82.84%,0.00%,15.10%,2.34%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.85%,0.76%,2.96%,-34.67%,-32.54%,-30.76%,-29.87%,-24.34%,-31.07%,1.42,34.74%,13.23%,-29.39%,-30.90%,-29.67%,,13.20%,-5.34%,39.76,3.70,132890,7.12,6.74,9.90,6.74,7.63,7.16%,8.00
14,"FAT","FAT Brands Inc","USA",89.93,4.62,72.82%,0.03%,7.31%,-2.84%,0.78%,0.04,0.00%,0.00%,0.00%,2.72%,2.72%,1.54%,-1.67%,0.11%,0.19%,-0.02%,12.31%,1.15%,-27.03%,-15.36%,-22.49%,-12.71%,0.27,5.70%,4.67%,4.80%,-6.00%,-20.65%,5/1/2024 4:30:00 PM,6.22%,2.68%,31.06,3.51,103534,4.85,4.98,5.72,4.93,5.29,9.07%,5.29
15,"HOFV","Hall of Fame Resort & Entertainment Company","USA",19.72,4.72,27.72%,0.00%,3.74%,-39.03%,9.04%,0.43,0.00%,2.60%,2.60%,2.72%,1.31%,3.42%,2.72%,1.85%,1.85%,4.50%,4.14%,-10.65%,-11.18%,-12.97%,-69.22%,-7.08%,0.22,7.23%,7.29%,1.27%,2.15%,-9.70%,5/13/2024 4:30:00 PM,1.68%,1.02%,21.48,6.56,128500,2.94,2.97,3.20,2.85,3.02,2.72%,3.02
16,"AERT","Aeries Technology Inc.","Singapore",91.41,5.09,86.92%,0.00%,7.62%,258.94%,0.79%,0.04,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.27%,3.83%,4.95%,33.52%,56.67%,6.33%,-4.08%,-77.40%,-6.00%,0.22,9.72%,12.71%,35.22%,40.44%,-31.09%,2/22/2024 8:30:00 AM,9.81%,2.39%,40.90,4.23,163961,2.09,2.14,2.37,2.11,2.35,12.44%,2.44
17,"CTGO","Contango Ore Inc","USA",225.33,5.44,47.33%,-0.70%,17.03%,2.29%,7.87%,0.43,0.00%,0.00%,0.00%,0.00%,0.00%,0.46%,-1.00%,-0.46%,1.72%,1.39%,13.34%,10.74%,11.71%,37.22%,-10.16%,20.10%,1.17,5.27%,5.35%,17.73%,7.33%,14.44%,5/14/2024 4:30:00 PM,4.22%,0.58%,73.10,2.44,172628,20.75,20.87,22.23,20.87,21.75,4.82%,21.85
18,"CLNN","Clene Inc","USA",33.76,6.43,42.71%,-2.09%,6.06%,,0.26%,0.02,0.00%,0.00%,0.00%,1.16%,1.16%,1.16%,1.15%,1.16%,0.00%,2.95%,-24.72%,-36.66%,-31.07%,-34.33%,-67.41%,-11.50%,0.75,14.58%,10.44%,-25.76%,-28.75%,-36.31%,5/8/2024 8:30:00 AM,-1.32%,4.72%,51.90,2.01,103205,5.08,5.32,5.54,5.02,5.25,3.35%,5.24
