"No.","Ticker","Company","Country","Market Cap","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"IVP","Inspire Veterinary Partners Inc.","USA",10.76,0.95,4.58%,0.00%,1.24%,,39.57%,0.38,0.00%,1.22%,1.80%,1.80%,3.12%,1.22%,2.67%,-2.36%,16.32%,16.32%,262.29%,504.49%,111.39%,-39.72%,,-68.78%,1.66,97.88%,46.67%,307.04%,280.33%,-63.95%,,17.34%,-13.25%,3201.59,3.71,593213,10.57,9.17,12.49,9.06,10.76,1.80%,
2,"CGBS","Crown LNG Holdings Ltd .","United Kingdom",32.69,1.36,84.60%,0.00%,9.76%,-6.10%,0.02%,0.00,1.64%,1.93%,1.65%,0.27%,0.00%,-1.34%,-0.23%,-0.54%,-7.29%,-7.29%,-55.54%,-68.53%,-67.52%,-66.58%,-63.28%,-66.85%,1.75,60.13%,31.70%,-54.65%,-63.57%,-65.46%,,-9.34%,18.66%,321.93,295.96,4763937,3.43,4.07,4.08,3.55,3.69,7.58%,
3,"MLGO","MicroAlgo Inc","China",27.85,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,2.30,-0.81%,-0.81%,-1.03%,0.00%,0.27%,0.83%,-1.88%,-5.67%,3.98%,3.98%,-42.81%,-16.44%,30.71%,-52.65%,-84.56%,-59.87%,2.75,40.44%,45.33%,-56.89%,-30.14%,-72.49%,,3.98%,2.33%,8718.83,3.05,1327992,3.44,3.52,4.13,3.49,3.66,6.40%,
4,"ASNS","Actelis Networks Inc","USA",12.76,5.75,4.43%,0.00%,5.80%,-44.36%,7.28%,0.42,-1.85%,-4.07%,1.92%,1.92%,-1.97%,-0.47%,16.02%,17.13%,15.22%,15.22%,33.33%,41.33%,147.35%,78.15%,-38.90%,89.29%,0.35,11.39%,18.27%,26.60%,81.58%,89.71%,3/26/2024 4:30:00 PM,15.22%,-1.08%,4849.55,6.19,1500805,1.86,1.84,2.32,1.74,2.12,13.98%,
5,"PHUN","Phunware Inc","USA",60.39,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,0.13%,0.27%,0.27%,1.35%,0.00%,-2.21%,-0.53%,-3.09%,-6.70%,-6.70%,31.01%,30.10%,3.44%,100.00%,-62.31%,83.41%,0.61,5.96%,7.59%,34.30%,21.35%,-9.11%,5/9/2024 4:30:00 PM,-8.29%,40.65%,364.42,173.91,3168923,5.83,8.20,8.90,7.03,7.52,28.99%,
6,"AMIX","Autonomix Medical Inc.","USA",19.54,8.19,56.40%,0.00%,0.18%,,0.39%,0.03,-0.95%,2.95%,5.04%,2.98%,1.96%,-21.80%,-32.47%,30.16%,30.16%,30.16%,95.49%,-26.24%,-63.64%,,,-79.49%,0.24,10.71%,21.16%,11.70%,-41.87%,-63.12%,,76.18%,-4.48%,465.28,818.16,19033876,0.62,0.59,1.57,0.58,1.04,68.28%,
7,"MIRA","Mira Pharmaceuticals Inc","USA",15.37,9.75,34.05%,0.17%,4.20%,,0.16%,0.02,0.97%,10.86%,6.12%,13.06%,18.18%,10.72%,11.83%,13.04%,65.42%,65.42%,89.85%,40.54%,15.49%,5.59%,,-0.95%,0.11,11.12%,7.87%,60.01%,41.69%,-31.06%,05/29/2024,65.42%,6.70%,114.26,2501.33,14289972,0.59,0.63,1.25,0.57,1.04,76.51%,
8,"MWG","Multi Ways Holdings Ltd","Singapore",17.89,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,0.00%,-1.69%,-1.94%,-1.94%,-1.69%,-0.17%,-6.45%,-4.08%,8.57%,8.57%,29.15%,53.44%,85.30%,115.21%,-5.68%,158.12%,0.08,24.24%,19.13%,54.93%,62.00%,80.33%,,11.75%,-2.61%,839.99,29.40,1234975,0.53,0.52,0.65,0.51,0.58,8.84%,
9,"CDT","Conduit Pharmaceuticals Inc","USA",20.69,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.07,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-3.28%,-3.01%,-2.74%,-2.74%,-43.94%,-86.96%,-91.19%,-93.74%,-97.32%,-93.84%,0.22,34.09%,31.28%,-72.98%,-87.08%,-90.52%,,-2.74%,9.79%,259.24,19.80,256656,0.26,0.29,0.30,0.28,0.28,6.78%,
10,"DJT","Trump Media & Technology Group Corp.","USA",8672.66,47.29,75.10%,0.00%,1.19%,3.55%,11.04%,5.22,-0.15%,0.04%,0.73%,1.15%,0.93%,-0.06%,-1.19%,0.91%,-3.77%,-3.77%,50.59%,11.56%,40.10%,169.86%,249.89%,160.91%,4.77,6.09%,10.69%,40.30%,9.47%,43.10%,5/20/2024 8:30:00 AM,-8.42%,61.41%,6832.51,39.47,13485334,30.89,49.86,54.47,37.40,45.66,47.81%,
