"No.","Ticker","Company","Country","Market Cap","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
33,"OXSQ","Oxford Square Capital Corp","USA",180.06,53.19,10.94%,0.00%,5.90%,,0.55%,0.29,-0.16%,0.00%,0.18%,-0.39%,-0.33%,-0.49%,-0.82%,-0.82%,-0.20%,-0.50%,0.84%,-0.17%,-5.78%,-0.17%,3.14%,5.42%,0.03,1.01%,1.14%,1.58%,-1.75%,-0.59%,5/2/2024 8:30:00 AM,-0.17%,0.33%,278.80,7.50,175956,3.01,3.02,3.03,3.01,3.02,0.17%,
34,"ARBK","Argo Blockchain Plc ADR","United Kingdom",67.67,53.53,,,4.14%,-8.24%,1.41%,0.75,0.43%,1.71%,0.00%,0.86%,-2.30%,-0.03%,-0.82%,-0.81%,-0.85%,-2.50%,-0.85%,-15.22%,-18.75%,-53.94%,-53.57%,-68.72%,0.10,7.46%,8.51%,-1.87%,-10.75%,-29.30%,5/23/2024 4:30:00 PM,0.86%,3.11%,275.17,5.81,134432,1.12,1.16,1.23,1.15,1.17,4.00%,
35,"ENV","Envestnet Inc.","USA",3412.41,54.41,1.28%,4.77%,108.86%,0.31%,6.62%,3.60,0.00%,-0.08%,-0.16%,-0.16%,0.11%,-0.18%,-0.18%,0.54%,0.54%,0.54%,-2.10%,1.86%,8.06%,21.25%,0.47%,25.04%,1.57,2.63%,2.58%,-0.29%,-3.33%,18.38%,5/7/2024 4:30:00 PM,0.13%,0.41%,765.62,2.30,152543,61.59,61.84,62.26,61.85,61.92,0.54%,
36,"POET","POET Technologies Inc","Canada",205.87,60.36,1.19%,0.00%,10.73%,-10.89%,0.75%,0.45,-0.88%,0.30%,-0.30%,-2.31%,6.65%,7.19%,5.33%,5.31%,5.97%,5.97%,4.98%,92.57%,209.17%,233.66%,-21.81%,260.27%,0.34,14.11%,13.24%,41.09%,54.96%,98.27%,5/15/2024 4:30:00 PM,6.98%,1.61%,1323.70,3.07,351682,3.10,3.15,3.49,3.11,3.37,8.71%,
37,"ZTR","Virtus Total Return Fund Inc.","USA",348.72,61.71,0.10%,8.82%,41.30%,136.30%,,,0.00%,0.18%,0.18%,0.81%,0.98%,0.89%,0.89%,0.89%,0.89%,0.89%,2.91%,3.67%,5.41%,2.36%,-7.68%,2.54%,0.07,1.13%,1.15%,4.25%,4.11%,6.88%,,0.89%,0.54%,281.43,4.17,101484,5.57,5.60,5.66,5.59,5.65,1.44%,
38,"ARQQ","Arqit Quantum Inc","United Kingdom",66.39,63.20,62.47%,0.00%,5.34%,26.67%,4.88%,3.08,0.90%,1.08%,1.10%,1.73%,1.34%,3.44%,2.79%,2.58%,3.33%,3.33%,14.96%,2.50%,-20.64%,-12.59%,-70.58%,-16.84%,0.03,9.95%,8.91%,17.76%,4.73%,-21.29%,5/20/2024 8:30:00 AM,1.60%,7.48%,1790.20,3.60,557387,0.36,0.39,0.40,0.38,0.39,9.20%,
39,"EDD","Morgan Stanley Emerging Markets Domestic Debt Fund Inc","USA",315.30,64.81,,,52.75%,,0.17%,0.11,0.00%,-0.10%,-0.10%,0.10%,-0.29%,0.31%,0.31%,0.31%,0.31%,0.31%,3.29%,3.51%,6.92%,3.73%,-0.71%,4.40%,0.06,1.25%,1.12%,3.09%,3.33%,5.03%,,-0.31%,0.83%,194.51,8.14,133134,4.84,4.88,4.89,4.85,4.86,0.52%,
40,"ORC","Orchid Island Capital Inc","USA",580.92,66.63,0.33%,0.00%,24.57%,17.32%,5.26%,3.50,-0.00%,-0.13%,-0.11%,-0.04%,-0.00%,-0.06%,-0.69%,-0.68%,-0.54%,-0.23%,4.95%,3.82%,3.57%,0.23%,-15.39%,3.08%,0.12,1.47%,1.46%,3.10%,2.43%,6.39%,7/25/2024 4:30:00 PM,-0.17%,0.29%,1557.71,2.38,320728,8.68,8.70,8.71,8.69,8.69,0.11%,
41,"OKLO","Oklo Inc.","USA",1059.22,69.37,43.19%,0.00%,19.48%,0.29%,7.99%,5.54,-0.09%,0.23%,-0.28%,0.41%,-0.25%,-2.17%,-3.82%,-4.14%,-3.40%,-3.72%,16.91%,-14.95%,-32.01%,-18.47%,-16.26%,-17.85%,0.92,11.92%,10.49%,0.20%,-11.57%,-18.56%,05/29/2024,-2.53%,3.37%,3772.08,3.12,1018422,8.61,8.90,8.90,8.54,8.68,0.75%,
42,"RUM","Rumble Inc","USA",1781.40,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,13.80,0.20%,-0.08%,-0.08%,-0.52%,-3.73%,-6.72%,-5.61%,-2.55%,-2.24%,-4.46%,10.60%,8.69%,-0.71%,70.22%,-28.08%,40.65%,0.30,3.98%,4.13%,12.56%,1.10%,7.17%,5/14/2024 4:30:00 PM,-5.89%,12.96%,1138.40,20.46,2015737,5.94,6.71,6.83,6.25,6.32,6.31%,
43,"FTCI","FTC Solar Inc","USA",53.04,72.15,42.73%,0.96%,20.94%,12.19%,11.33%,8.18,4.39%,4.39%,4.39%,2.28%,1.45%,-1.98%,0.24%,-2.09%,-2.07%,-2.07%,31.56%,-6.96%,-11.37%,-22.41%,-86.97%,-39.23%,0.04,9.93%,10.82%,8.21%,-7.16%,-34.13%,5/10/2024 8:30:00 AM,2.36%,-1.84%,673.34,2.20,124370,0.42,0.41,0.43,0.40,0.42,0.48%,
44,"NCZ","Virtus Convertible & Income Fund II","USA",229.18,76.11,,,34.09%,,0.13%,0.10,-0.13%,0.00%,-0.13%,-0.08%,0.04%,0.12%,0.12%,0.12%,0.37%,0.37%,1.72%,3.83%,7.15%,1.04%,-1.92%,1.04%,0.04,1.08%,1.29%,2.97%,4.08%,5.90%,,0.12%,0.24%,381.79,3.31,109327,3.00,3.01,3.02,3.00,3.01,0.37%,
45,"SMR","NuScale Power Corporation","USA",1468.06,77.81,12.11%,-1.57%,32.33%,4.26%,19.19%,14.93,1.57%,1.85%,1.29%,2.04%,0.71%,-0.83%,1.47%,1.16%,3.95%,4.28%,21.12%,96.22%,214.62%,608.58%,110.68%,403.97%,1.31,11.69%,11.76%,47.76%,87.81%,223.26%,8/8/2024 4:30:00 PM,-1.42%,9.65%,5219.98,6.37,2875711,15.34,16.82,16.90,15.95,16.58,8.09%,
46,"ECC","Eagle Point Credit Company Inc","USA",854.30,78.82,0.77%,0.00%,13.32%,,0.40%,0.32,0.05%,0.00%,-0.03%,0.00%,-0.05%,-0.20%,-0.35%,-0.15%,-0.35%,-0.35%,-2.10%,-1.72%,0.73%,3.61%,0.34%,6.88%,0.07,0.81%,0.59%,-0.80%,-1.29%,2.12%,5/21/2024 8:30:00 AM,-0.15%,0.20%,825.39,2.14,152587,10.01,10.03,10.04,10.00,10.02,0.05%,
47,"HUT","Hut 8 Corp","USA",1655.94,80.09,11.40%,-0.52%,30.23%,,10.57%,8.47,0.11%,0.91%,0.66%,0.46%,-0.49%,0.55%,1.22%,0.94%,2.18%,3.33%,4.81%,67.61%,137.31%,62.99%,-18.03%,37.33%,1.43,11.41%,10.51%,26.69%,63.45%,83.56%,5/15/2024 8:30:00 AM,0.71%,7.25%,4600.80,3.76,1498459,16.96,18.19,18.70,17.98,18.32,8.02%,
48,"OPTT","Ocean Power Technologies","USA",34.62,85.17,5.84%,0.00%,3.92%,-13.16%,11.17%,9.51,0.39%,0.21%,-0.08%,-0.60%,-1.64%,-4.09%,-3.36%,-5.25%,4.71%,5.72%,-4.35%,149.80%,60.87%,24.13%,-37.78%,21.11%,0.06,19.73%,21.78%,49.52%,80.42%,36.34%,7/25/2024 4:30:00 PM,-2.67%,7.26%,29053.24,4.50,11303054,0.37,0.39,0.41,0.38,0.38,4.39%,
49,"POWW","AMMO Inc","USA",223.46,89.26,25.11%,-1.46%,27.59%,-8.60%,3.19%,2.85,-0.18%,-1.06%,-1.32%,-3.35%,-0.63%,4.17%,4.75%,4.77%,3.02%,6.53%,17.92%,-24.70%,-24.09%,-10.71%,-15.16%,-10.71%,0.11,3.64%,6.72%,8.57%,-14.20%,-18.48%,6/13/2024 4:30:00 PM,3.02%,9.64%,703.25,16.13,981476,1.66,1.82,1.96,1.79,1.88,12.95%,
50,"HUMA","Humacyte Inc","USA",912.15,91.98,22.76%,-10.97%,19.50%,-9.29%,8.97%,8.25,0.44%,1.20%,0.66%,1.59%,4.43%,3.79%,-1.67%,-1.54%,0.79%,5.51%,35.10%,4.36%,165.97%,183.70%,140.13%,169.72%,0.63,9.85%,9.66%,35.07%,25.12%,101.99%,5/10/2024 8:30:00 AM,2.13%,7.30%,2897.13,5.67,1422490,6.99,7.50,7.68,7.28,7.66,9.59%,
51,"ASTL","Algoma Steel Group Inc","Canada",829.54,94.55,9.17%,0.00%,70.88%,-34.32%,3.18%,3.01,0.36%,0.36%,0.36%,2.12%,0.82%,1.77%,1.51%,1.51%,4.44%,4.44%,12.08%,10.22%,2.95%,-14.59%,10.06%,-20.55%,0.26,3.06%,3.46%,12.46%,6.64%,0.85%,6/20/2024 4:30:00 PM,2.69%,5.58%,359.97,5.49,170873,7.35,7.76,7.98,7.76,7.97,8.42%,
52,"TMQ","Trilogy Metals Inc","Canada",96.94,98.51,38.64%,-0.80%,22.26%,,0.84%,0.82,0.00%,-0.02%,0.13%,4.05%,0.10%,0.15%,2.17%,4.10%,4.10%,4.10%,18.39%,23.98%,14.36%,36.30%,8.40%,40.42%,0.03,5.24%,7.04%,23.35%,25.65%,30.08%,7/10/2024 8:30:00 AM,0.63%,8.55%,262.83,8.73,193062,0.55,0.60,0.60,0.58,0.60,9.24%,
53,"BIRD","Allbirds Inc","USA",109.90,102.03,35.20%,-0.06%,23.85%,3.14%,9.82%,10.01,1.09%,1.23%,3.13%,4.18%,4.05%,5.82%,2.80%,2.65%,4.18%,13.51%,37.10%,23.65%,12.06%,-31.57%,-45.89%,-43.02%,0.07,17.93%,10.30%,27.05%,17.95%,-16.28%,5/8/2024 4:30:00 PM,8.10%,7.65%,1353.32,2.84,332387,0.60,0.65,0.70,0.65,0.70,16.37%,
54,"HIVE","HIVE Digital Technologies Ltd.","Canada",385.45,104.09,0.49%,0.00%,32.97%,,5.24%,5.46,-0.41%,0.00%,-0.13%,-0.14%,0.13%,-1.47%,-1.21%,-0.41%,-1.21%,0.14%,7.75%,23.66%,29.30%,-9.24%,-44.50%,-18.65%,0.27,8.04%,9.23%,14.99%,30.41%,13.19%,6/24/2024 8:30:00 AM,-0.67%,5.40%,3445.40,2.30,686375,3.52,3.71,3.75,3.66,3.68,4.69%,
55,"EVLV","Evolv Technologies Holdings Inc","USA",466.71,106.45,31.80%,-1.23%,39.04%,2.18%,10.46%,11.14,0.00%,-0.33%,-0.33%,-0.50%,-3.24%,-2.92%,-5.08%,-5.97%,-2.61%,0.34%,15.89%,24.58%,-26.17%,-31.50%,-50.58%,-36.65%,0.17,6.32%,5.95%,22.12%,8.85%,-23.68%,5/9/2024 4:30:00 PM,-5.38%,10.49%,1483.78,2.51,321808,2.86,3.16,3.16,2.96,2.99,4.55%,
56,"CXW","CoreCivic Inc","USA",1585.46,108.47,2.51%,-5.28%,85.23%,-7.93%,4.27%,4.63,0.07%,0.04%,-0.00%,0.14%,1.28%,1.23%,-0.90%,-0.56%,-0.28%,-0.28%,7.30%,24.89%,-7.35%,3.04%,49.21%,-1.93%,0.50,2.18%,3.24%,14.15%,1.18%,1.57%,8/7/2024 4:30:00 PM,-1.30%,8.23%,917.15,3.18,252406,13.34,14.44,14.44,13.90,14.25,6.82%,
