"No.","Ticker","Company","Country","Market Cap","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"IVP","Inspire Veterinary Partners Inc.","USA",12.55,0.95,4.58%,0.00%,1.24%,,39.57%,0.38,7.31%,8.66%,13.27%,16.31%,17.29%,18.40%,18.40%,20.28%,10.28%,35.68%,322.56%,605.06%,146.56%,-29.69%,,-63.59%,1.57,97.88%,46.67%,374.75%,343.60%,-57.95%,,20.67%,-1.61%,3201.59,3.97,1069403,10.57,10.40,12.55,10.40,12.55,18.73%,
2,"UPC","Universe Pharmaceuticals INC","China",13.56,1.57,57.05%,0.00%,0.04%,-83.88%,0.84%,0.01,-1.46%,-1.46%,-1.20%,-1.98%,2.91%,2.91%,-8.50%,-5.47%,-3.26%,-1.20%,-0.13%,58.76%,115.99%,31.74%,67.34%,84.83%,0.42,20.80%,11.37%,31.81%,44.13%,102.31%,1/30/2024 4:30:00 PM,-3.76%,16.97%,62.31,24.17,130307,3.30,3.86,3.86,3.50,3.71,12.58%,
3,"ASNS","Actelis Networks Inc","USA",12.19,5.75,4.43%,0.00%,5.80%,-44.36%,7.28%,0.42,0.75%,0.25%,5.74%,6.57%,3.38%,-0.25%,-3.57%,-7.10%,11.88%,10.05%,27.36%,35.00%,136.26%,70.17%,-41.64%,80.80%,0.32,11.39%,18.27%,20.93%,73.44%,81.21%,3/26/2024 4:30:00 PM,0.25%,8.60%,4849.55,6.33,2656787,1.86,2.02,2.08,1.86,2.03,8.87%,
4,"PHUN","Phunware Inc","USA",53.08,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,-1.19%,-2.72%,-3.78%,-2.63%,-7.29%,-6.77%,-15.04%,-12.68%,-14.82%,-17.99%,15.16%,14.36%,-9.08%,75.80%,-66.87%,61.22%,0.51,5.96%,7.59%,18.05%,6.67%,-20.11%,5/9/2024 4:30:00 PM,-11.98%,28.82%,364.42,180.57,5694671,5.83,7.51,7.49,6.60,6.61,13.38%,
5,"AMIX","Autonomix Medical Inc.","USA",22.92,8.19,56.40%,0.00%,0.18%,,0.39%,0.03,5.16%,15.11%,23.24%,23.23%,27.08%,25.77%,19.62%,16.19%,52.69%,52.69%,129.32%,-13.48%,-57.34%,,,-75.94%,0.22,10.71%,21.16%,31.04%,-31.81%,-56.73%,,29.07%,52.94%,465.28,844.69,33054234,0.62,0.95,1.22,0.91,1.22,97.41%,
6,"MIRA","Mira Pharmaceuticals Inc","USA",12.23,9.75,34.05%,0.17%,4.20%,,0.16%,0.02,-0.97%,1.97%,-9.55%,-8.03%,0.35%,-2.86%,-5.95%,-15.99%,-10.04%,31.64%,51.08%,11.84%,-8.10%,-15.97%,,-21.18%,0.09,11.12%,7.87%,27.33%,12.75%,-45.14%,05/29/2024,-5.95%,49.36%,114.26,1989.49,19671661,0.59,0.88,0.98,0.81,0.83,40.46%,
7,"MWG","Multi Ways Holdings Ltd","Singapore",20.35,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,-1.62%,-1.17%,0.12%,-4.39%,-9.65%,5.21%,6.97%,11.58%,9.15%,23.55%,46.96%,74.60%,110.86%,144.90%,7.33%,193.72%,0.09,24.24%,19.13%,76.30%,84.34%,105.20%,,5.63%,17.25%,839.99,41.25,2998322,0.53,0.62,0.78,0.62,0.66,23.85%,
8,"CDT","Conduit Pharmaceuticals Inc","USA",19.43,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.07,0.00%,0.00%,0.00%,0.00%,-0.68%,-5.73%,-6.50%,-6.10%,-9.24%,-8.67%,-47.36%,-87.76%,-91.72%,-94.12%,-97.49%,-94.22%,0.22,34.09%,31.28%,-74.63%,-87.87%,-91.10%,,-6.00%,6.67%,259.24,27.62,619689,0.26,0.28,0.28,0.26,0.26,0.27%,
9,"AEON","AEON Biopharma Inc.","USA",91.54,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,15.84%,19.39%,21.81%,15.56%,39.68%,38.46%,56.00%,56.00%,64.80%,64.80%,129.41%,54.97%,-69.21%,-66.81%,-68.80%,-67.50%,0.23,9.93%,11.72%,105.19%,55.98%,-61.23%,5/14/2024 4:30:00 PM,27.87%,30.71%,86.52,36.31,264217,1.40,1.83,2.34,1.63,2.34,67.14%,
10,"WTO","UTime Ltd","China",19.73,13.89,23.98%,0.00%,0.54%,-2.97%,0.92%,0.13,-2.69%,-1.36%,-2.32%,-1.81%,-4.42%,-1.81%,3.86%,3.86%,8.01%,2.87%,24.29%,111.20%,312.88%,414.33%,-55.91%,292.76%,0.10,15.37%,14.79%,50.07%,100.77%,234.32%,,-1.81%,1.85%,218.66,5.73,105428,1.08,1.10,1.13,1.06,1.08,0.01%,
11,"MSTR","Microstrategy Inc.","USA",27319.42,15.76,11.13%,-18.22%,55.57%,-3.18%,17.43%,2.75,-0.19%,-0.13%,0.52%,0.21%,1.81%,1.99%,1.76%,2.02%,3.22%,2.94%,19.33%,-3.97%,4.08%,187.22%,233.45%,143.82%,100.87,5.69%,6.51%,9.78%,6.49%,62.56%,8/1/2024 4:30:00 PM,1.38%,8.75%,1313.79,3.71,422182,1396.76,1518.99,1548.71,1492.43,1539.99,10.25%,
12,"HLVX","HilleVax Inc","USA",87.51,16.76,66.28%,-0.37%,32.21%,-0.53%,9.99%,1.67,0.28%,0.00%,-0.56%,-0.45%,-0.03%,0.57%,0.57%,1.11%,2.03%,2.03%,7.32%,-87.95%,-88.29%,-88.28%,-88.58%,-89.03%,1.32,16.88%,10.14%,-83.74%,-86.02%,-87.42%,5/9/2024 4:30:00 PM,0.57%,0.00%,833.94,2.53,182573,1.75,1.75,1.77,1.74,1.76,0.57%,
13,"ICFI","ICF International, Inc","USA",2494.11,18.47,1.44%,-3.39%,94.04%,2.21%,0.91%,0.17,0.01%,-0.02%,-0.00%,-0.08%,0.37%,0.37%,0.98%,0.98%,0.98%,0.98%,0.24%,-7.16%,-7.35%,1.16%,15.30%,-0.75%,3.48,2.25%,2.68%,-4.30%,-6.86%,-4.56%,8/1/2024 4:30:00 PM,0.45%,-0.27%,102.13,12.21,107952,132.86,132.50,133.69,132.09,133.09,0.17%,
14,"GLTO","Galecto Inc","USA",15.46,19.94,26.47%,0.00%,5.59%,0.55%,0.15%,0.03,0.00%,1.79%,1.79%,1.79%,1.80%,5.57%,1.80%,1.80%,-1.40%,-1.40%,12.22%,7.55%,-16.28%,-20.21%,-77.01%,-20.82%,0.04,5.84%,7.60%,13.47%,-1.11%,-11.71%,04/26/2024,5.57%,-0.92%,143.47,8.20,101820,0.55,0.54,0.57,0.54,0.57,4.61%,
15,"BTDR","Bitdeer Technologies Holding Co","Hong Kong",1588.41,21.26,84.70%,0.00%,3.28%,-0.06%,12.92%,2.75,-0.37%,1.15%,0.04%,-0.22%,-1.47%,3.63%,2.05%,2.24%,2.93%,2.24%,-7.97%,40.07%,89.24%,58.97%,-16.81%,15.92%,1.12,11.97%,12.92%,10.43%,45.74%,65.94%,5/13/2024 8:30:00 AM,2.69%,5.30%,1619.26,3.30,461777,10.57,11.13,11.67,11.02,11.43,8.14%,
16,"TRAW","Traws Pharma Inc.","USA",10.88,21.85,13.68%,0.00%,10.91%,-3.31%,0.12%,0.03,2.38%,0.02%,1.75%,1.20%,2.90%,2.92%,-6.52%,2.90%,7.50%,7.50%,17.07%,-28.90%,-39.73%,20.31%,-25.22%,15.34%,0.05,11.95%,12.41%,-1.81%,-22.30%,-0.69%,5/16/2024 8:30:00 AM,4.88%,3.02%,88.65,15.41,118249,0.40,0.41,0.43,0.40,0.43,8.04%,
17,"NINE","Nine Energy Service Inc","USA",61.46,24.65,30.23%,7.30%,56.35%,10.82%,12.36%,3.05,0.00%,0.00%,0.58%,-0.85%,-1.97%,0.00%,3.55%,3.57%,2.35%,2.35%,4.19%,20.00%,-38.30%,-32.56%,-66.02%,-35.07%,0.12,6.22%,8.24%,8.28%,1.05%,-27.79%,8/6/2024 4:30:00 PM,0.00%,6.10%,626.40,4.47,242558,1.64,1.74,1.79,1.70,1.74,6.10%,
18,"GRYP","Gryphon Digital Mining Inc.","USA",44.77,24.78,36.90%,-0.48%,7.76%,-2.58%,0.63%,0.16,-0.87%,-0.87%,-0.86%,-0.87%,0.88%,1.79%,-2.53%,-2.78%,-0.87%,-0.87%,0.00%,-14.93%,-22.45%,-84.17%,-91.42%,-86.90%,0.09,5.44%,7.08%,-3.59%,-15.10%,-68.52%,4/2/2024 8:30:00 AM,-0.87%,3.60%,374.47,3.22,104378,1.11,1.15,1.15,1.12,1.14,2.70%,
19,"INOD","Innodata Inc","USA",531.88,26.71,7.10%,0.00%,37.68%,-6.36%,10.53%,2.81,0.60%,-0.30%,-1.12%,0.11%,2.61%,5.57%,4.99%,5.71%,6.94%,6.94%,9.79%,13.85%,192.26%,145.03%,67.72%,127.27%,1.08,8.24%,6.77%,22.25%,39.79%,101.24%,5/7/2024 4:30:00 PM,5.17%,3.96%,814.06,3.00,211650,16.92,17.59,18.79,17.42,18.50,9.34%,
20,"AZ","A2Z Smart Technologies Corp.","Canada",37.79,27.00,34.48%,0.00%,4.32%,,0.10%,0.03,0.37%,3.51%,1.90%,4.22%,-1.91%,-0.17%,15.04%,14.64%,10.51%,10.51%,99.37%,130.60%,115.89%,-15.86%,-60.47%,-33.06%,0.07,23.78%,13.10%,110.30%,121.27%,-3.15%,5/15/2024 8:30:00 AM,7.89%,2.05%,120.26,11.96,124484,0.83,0.85,0.95,0.85,0.92,10.11%,
21,"AEHR","Aehr Test Systems","USA",470.15,27.11,6.23%,-0.48%,64.42%,35.54%,21.56%,5.85,0.42%,0.63%,-0.35%,-0.47%,0.32%,-0.47%,2.47%,2.48%,1.77%,2.34%,27.05%,17.42%,38.99%,-10.79%,-60.75%,-38.70%,1.01,11.27%,7.41%,34.42%,36.03%,-16.27%,7/16/2024 4:30:00 PM,2.73%,0.51%,967.60,3.91,327118,15.75,15.83,16.40,15.81,16.26,3.25%,
22,"CKPT","Checkpoint Therapeutics Inc","USA",92.34,30.34,20.34%,-0.79%,14.50%,1.28%,12.63%,3.83,0.23%,0.55%,-0.52%,2.24%,3.24%,3.41%,1.46%,1.46%,-0.44%,-0.44%,10.23%,20.05%,36.24%,28.31%,-9.51%,5.90%,0.14,5.43%,7.80%,15.70%,27.56%,22.26%,5/10/2024 8:30:00 AM,3.19%,0.00%,379.81,4.97,163199,2.35,2.35,2.44,2.32,2.42,3.19%,
23,"TH","Target Hospitality Corp","USA",926.59,31.68,68.41%,0.00%,28.58%,6.83%,3.73%,1.18,-0.36%,-0.18%,-0.43%,0.43%,2.78%,2.33%,1.54%,1.09%,-0.11%,-0.11%,6.08%,21.26%,-13.73%,0.65%,-28.59%,-5.04%,0.38,2.54%,3.89%,12.79%,-6.96%,-13.98%,5/8/2024 8:30:00 AM,1.99%,1.00%,628.72,2.37,129044,8.97,9.06,9.31,8.98,9.24,3.01%,
24,"SLDB","Solid Biosciences Inc","USA",351.18,31.76,17.24%,0.01%,78.12%,-0.60%,9.60%,3.05,0.33%,0.83%,1.10%,-0.22%,-1.88%,-2.53%,5.17%,6.40%,5.29%,5.78%,35.56%,15.38%,-11.76%,18.83%,79.41%,49.02%,0.76,12.90%,10.71%,37.02%,14.94%,30.05%,05/09/2024,4.69%,10.49%,424.24,4.80,176351,7.91,8.74,9.37,8.75,9.15,15.68%,
25,"VERI","Veritone Inc","USA",123.05,32.43,14.18%,0.00%,34.37%,1.22%,16.56%,5.37,0.53%,1.47%,1.47%,3.07%,2.46%,5.92%,7.14%,4.73%,10.41%,10.41%,17.16%,21.53%,-32.98%,97.40%,-25.47%,79.95%,0.26,10.87%,9.19%,26.23%,13.44%,20.15%,5/7/2024 4:30:00 PM,5.75%,0.82%,836.82,2.61,189070,3.06,3.08,3.26,3.06,3.26,6.62%,
26,"MORF","Morphic Holding Inc","USA",2799.59,38.42,23.32%,-1.36%,92.19%,-1.45%,15.52%,5.96,0.00%,0.01%,0.01%,0.02%,0.07%,0.02%,0.05%,-0.02%,-0.02%,-0.02%,0.25%,94.30%,94.98%,101.88%,-4.36%,93.49%,2.43,0.44%,4.86%,52.24%,71.53%,89.20%,4/25/2024 8:30:00 AM,0.04%,0.14%,1869.37,2.53,409929,55.78,55.86,55.89,55.80,55.88,0.18%,
27,"OSBC","Old Second Bancorporation Inc.","USA",708.63,40.73,9.17%,-1.47%,62.21%,-2.25%,1.81%,0.74,0.00%,0.00%,-0.57%,-0.44%,0.10%,4.29%,4.29%,4.29%,4.29%,4.29%,8.82%,11.82%,17.73%,5.40%,14.83%,2.33%,0.39,2.64%,2.48%,9.18%,9.99%,11.35%,4/17/2024 4:30:00 PM,0.70%,1.10%,200.32,8.46,146631,15.52,15.69,15.98,15.15,15.80,1.80%,
28,"SILA","Sila Realty Trust Inc","USA",962.95,42.00,1.02%,0.00%,0.32%,-6.53%,0.06%,0.02,0.11%,-0.37%,-0.29%,-0.02%,0.07%,1.36%,1.54%,1.54%,2.23%,2.23%,6.05%,19.45%,-11.76%,,,4.11%,1.22,2.47%,4.60%,5.83%,15.03%,4.55%,,1.23%,-0.31%,712.98,2.24,137986,22.49,22.42,22.82,22.30,22.69,0.91%,
29,"SWBI","Smith & Wesson Brands Inc","USA",728.50,44.63,2.03%,-2.23%,60.24%,-3.47%,2.69%,1.20,0.44%,0.66%,1.27%,0.50%,1.21%,5.41%,5.96%,7.03%,8.78%,9.00%,14.13%,-1.48%,-4.54%,17.23%,19.95%,17.92%,0.47,1.54%,2.52%,8.26%,1.74%,8.05%,6/20/2024 4:30:00 PM,5.41%,8.20%,400.95,14.79,513096,14.02,15.17,16.02,15.13,15.99,14.05%,
30,"DJT","Trump Media & Technology Group Corp.","USA",7377.61,47.29,75.10%,0.00%,1.19%,3.55%,11.04%,5.22,-0.47%,-3.93%,-3.74%,-5.25%,-8.24%,-9.96%,-18.73%,-15.98%,-14.16%,-18.14%,28.11%,-5.10%,19.18%,129.56%,197.64%,121.95%,4.19,6.09%,10.69%,19.35%,-6.88%,21.73%,5/20/2024 8:30:00 AM,-16.02%,49.72%,6832.51,51.09,30206463,30.89,46.25,46.26,38.77,38.84,25.74%,
31,"SMCI","Super Micro Computer Inc","USA",53968.89,50.20,14.27%,-0.48%,59.37%,2.20%,9.17%,4.60,-0.85%,-0.31%,-2.64%,-3.31%,-3.96%,-2.81%,-2.26%,-1.99%,-2.11%,-1.63%,2.48%,18.96%,2.57%,168.45%,213.42%,224.21%,56.71,5.94%,7.06%,5.97%,9.58%,47.58%,4/30/2024 4:30:00 PM,-2.10%,3.45%,6637.50,3.17,1819315,909.96,941.37,963.30,919.00,921.60,1.28%,
32,"RCAT","Red Cat Holdings Inc","USA",142.62,50.34,32.22%,0.00%,18.91%,3.30%,5.66%,2.85,-0.26%,-0.51%,-0.44%,1.05%,2.95%,4.35%,4.92%,3.78%,7.87%,7.87%,64.10%,92.00%,118.21%,153.70%,62.71%,118.18%,0.14,13.14%,11.50%,62.71%,71.89%,110.11%,3/18/2024 4:30:00 PM,6.67%,2.86%,918.75,7.06,561017,1.75,1.80,1.94,1.80,1.92,9.71%,
