"No.","Ticker","Company","Country","Market Cap","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"CGBS","Crown LNG Holdings Ltd .","United Kingdom",33.76,1.36,84.60%,0.00%,9.76%,-6.10%,0.02%,0.00,1.76%,-1.81%,-3.05%,0.00%,3.27%,3.28%,4.95%,4.38%,1.60%,-4.27%,-54.10%,-67.51%,-66.46%,-65.49%,-62.09%,-65.77%,1.75,60.13%,31.70%,-53.17%,-62.38%,-64.33%,,-6.39%,18.66%,321.93,306.67,4936320,3.43,4.07,4.08,3.55,3.81,11.08%,
2,"MLGO","MicroAlgo Inc","China",27.32,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,2.30,0.00%,0.82%,0.85%,0.84%,0.28%,1.13%,-1.91%,-3.49%,-2.97%,1.99%,-43.91%,-18.04%,28.21%,-53.55%,-84.85%,-60.64%,2.75,40.44%,45.33%,-57.71%,-31.47%,-73.02%,,1.99%,2.33%,8718.83,3.21,1400883,3.44,3.52,4.13,3.49,3.59,4.36%,
3,"ASNS","Actelis Networks Inc","USA",12.70,5.75,4.43%,0.00%,5.80%,-44.36%,7.28%,0.42,0.04%,0.48%,-0.94%,0.00%,-2.31%,-0.47%,-2.31%,15.30%,14.67%,14.67%,32.70%,40.67%,146.18%,77.31%,-39.19%,88.39%,0.35,11.39%,18.27%,26.01%,80.72%,88.82%,3/26/2024 4:30:00 PM,14.67%,-1.08%,4849.55,8.28,2008906,1.86,1.84,2.32,1.74,2.11,13.44%,
4,"PHUN","Phunware Inc","USA",62.63,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,0.65%,1.04%,-0.26%,1.69%,-1.02%,0.00%,3.04%,3.17%,0.13%,-3.23%,35.89%,34.95%,7.29%,107.45%,-60.90%,90.24%,0.61,5.96%,7.59%,39.30%,25.87%,-5.72%,5/9/2024 4:30:00 PM,-4.88%,40.65%,364.42,196.50,3580460,5.83,8.20,8.90,7.03,7.80,33.79%,
5,"AMIX","Autonomix Medical Inc.","USA",19.17,8.19,56.40%,0.00%,0.18%,,0.39%,0.03,0.01%,2.51%,3.03%,3.53%,3.67%,3.90%,-2.86%,-33.77%,27.66%,27.66%,91.73%,-27.66%,-64.34%,,,-79.88%,0.24,10.71%,21.16%,9.56%,-42.99%,-63.83%,,72.79%,-4.48%,465.28,965.09,22451941,0.62,0.59,1.57,0.58,1.02,65.05%,
6,"MIRA","Mira Pharmaceuticals Inc","USA",12.93,9.75,34.05%,0.17%,4.20%,,0.16%,0.02,-0.06%,-0.13%,-0.14%,-0.38%,-1.50%,-6.97%,-11.23%,-5.97%,23.17%,39.10%,59.64%,18.18%,-2.89%,-11.21%,,-16.71%,0.11,11.12%,7.87%,34.54%,19.14%,-42.03%,05/29/2024,39.10%,6.70%,114.26,2711.97,15493310,0.59,0.63,1.25,0.57,0.87,48.42%,
7,"MWG","Multi Ways Holdings Ltd","Singapore",19.27,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,1.28%,-0.54%,-0.54%,-0.53%,3.61%,7.74%,5.66%,2.44%,11.63%,17.00%,39.17%,65.34%,99.68%,131.91%,1.64%,178.15%,0.08,24.24%,19.13%,66.95%,74.57%,94.32%,,20.42%,-2.61%,839.99,31.42,1319809,0.53,0.52,0.65,0.51,0.62,17.28%,
8,"CDT","Conduit Pharmaceuticals Inc","USA",21.19,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.07,-0.69%,2.14%,2.32%,2.35%,2.35%,0.42%,2.39%,-1.03%,0.00%,-0.42%,-42.60%,-86.65%,-90.97%,-93.59%,-97.26%,-93.69%,0.22,34.09%,31.28%,-72.34%,-86.77%,-90.29%,,-0.42%,9.79%,259.24,25.12,325550,0.26,0.29,0.30,0.28,0.29,9.33%,
9,"DJT","Trump Media & Technology Group Corp.","USA",9105.72,47.29,75.10%,0.00%,1.19%,3.55%,11.04%,5.22,-0.10%,0.52%,-0.13%,1.57%,1.26%,1.83%,3.70%,3.74%,6.46%,1.03%,58.11%,17.13%,47.10%,183.33%,267.36%,173.94%,4.77,6.09%,10.69%,47.31%,14.94%,50.25%,5/20/2024 8:30:00 AM,-3.85%,61.41%,6832.51,45.88,15675262,30.89,49.86,54.47,37.40,47.94,55.20%,
10,"RUM","Rumble Inc","USA",1881.77,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,13.80,-0.73%,-0.29%,0.01%,0.62%,0.77%,-0.88%,2.94%,3.42%,1.07%,0.92%,16.83%,14.82%,4.89%,79.81%,-24.02%,48.57%,0.33,3.98%,4.13%,18.90%,6.80%,13.21%,5/14/2024 4:30:00 PM,-1.47%,13.97%,1138.40,15.21,865798,5.94,6.77,7.29,6.37,6.67,12.30%,
