"No.","Ticker","Company","Country","Market Cap","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"CGBS","Crown LNG Holdings Ltd .","United Kingdom",32.68,1.36,84.60%,0.00%,9.76%,-6.10%,0.02%,0.00,0.24%,0.80%,0.79%,0.52%,1.63%,1.62%,-1.63%,-0.30%,-7.31%,-7.31%,-55.55%,-68.54%,-67.53%,-66.59%,-63.29%,-66.86%,1.75,60.13%,31.70%,-54.66%,-63.58%,-65.47%,,-9.36%,18.66%,321.93,298.41,4803420,3.43,4.07,4.08,3.55,3.69,7.55%,
2,"MLGO","MicroAlgo Inc","China",26.86,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,2.30,-0.28%,-0.56%,-1.12%,-1.40%,-2.21%,-3.55%,-2.90%,-6.61%,0.28%,0.28%,-44.84%,-19.41%,26.07%,-54.33%,-85.11%,-61.29%,2.75,40.44%,45.33%,-58.42%,-32.62%,-73.47%,,0.28%,2.33%,8718.83,3.15,1373871,3.44,3.52,4.13,3.49,3.53,2.62%,
3,"ASNS","Actelis Networks Inc","USA",12.65,5.75,4.43%,0.00%,5.80%,-44.36%,7.28%,0.42,-0.88%,-2.27%,-2.71%,0.06%,-5.88%,-3.60%,-1.35%,14.83%,14.20%,14.20%,32.16%,40.09%,145.16%,76.58%,-39.44%,87.62%,0.35,11.39%,18.27%,25.49%,79.97%,88.04%,3/26/2024 4:30:00 PM,14.20%,-1.08%,4849.55,7.57,1834571,1.86,1.84,2.32,1.74,2.10,12.97%,
4,"PHUN","Phunware Inc","USA",62.63,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,-0.26%,-1.02%,0.52%,1.96%,3.46%,3.04%,1.43%,-2.16%,-3.23%,-3.23%,35.89%,34.95%,7.29%,107.45%,-60.90%,90.24%,0.61,5.96%,7.59%,39.30%,25.87%,-5.72%,5/9/2024 4:30:00 PM,-4.88%,40.65%,364.42,183.12,3336688,5.83,8.20,8.90,7.03,7.80,33.79%,
5,"AMIX","Autonomix Medical Inc.","USA",19.17,8.19,56.40%,0.00%,0.18%,,0.39%,0.03,0.99%,2.00%,0.00%,3.03%,-3.77%,-2.86%,-23.31%,27.66%,27.66%,27.66%,91.73%,-27.66%,-64.34%,,,-79.88%,0.24,10.71%,21.16%,9.56%,-42.99%,-63.83%,,72.79%,-4.48%,465.28,920.16,21406753,0.62,0.59,1.57,0.58,1.02,65.05%,
6,"MIRA","Mira Pharmaceuticals Inc","USA",14.04,9.75,34.05%,0.17%,4.20%,,0.16%,0.02,2.12%,2.15%,0.00%,-2.06%,-0.89%,-3.56%,1.14%,-10.39%,51.11%,51.11%,73.42%,28.38%,5.50%,-3.54%,,-9.52%,0.11,11.12%,7.87%,46.16%,29.43%,-37.03%,05/29/2024,51.11%,6.70%,114.26,2619.59,14965565,0.59,0.63,1.25,0.57,0.95,61.24%,
7,"MWG","Multi Ways Holdings Ltd","Singapore",18.50,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,3.43%,1.69%,1.69%,2.21%,2.42%,1.44%,3.27%,0.20%,12.32%,12.32%,33.60%,58.73%,91.69%,122.63%,-2.42%,167.02%,0.08,24.24%,19.13%,60.27%,67.58%,86.55%,,15.61%,-2.61%,839.99,29.89,1255570,0.53,0.52,0.65,0.51,0.60,12.59%,
8,"CDT","Conduit Pharmaceuticals Inc","USA",20.69,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.07,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-3.34%,-2.74%,-2.74%,-43.94%,-86.96%,-91.19%,-93.74%,-97.32%,-93.84%,0.22,34.09%,31.28%,-72.98%,-87.08%,-90.52%,,-2.74%,9.79%,259.24,21.13,273920,0.26,0.29,0.30,0.28,0.28,6.78%,
9,"DJT","Trump Media & Technology Group Corp.","USA",8874.00,47.29,75.10%,0.00%,1.19%,3.55%,11.04%,5.22,0.13%,0.58%,0.69%,0.22%,2.25%,1.06%,2.26%,2.46%,-1.54%,-1.54%,54.09%,14.15%,43.36%,176.12%,258.01%,166.97%,4.77,6.09%,10.69%,43.56%,12.01%,46.42%,5/20/2024 8:30:00 AM,-6.30%,61.41%,6832.51,41.98,14341021,30.89,49.86,54.47,37.40,46.72,51.25%,
10,"RUM","Rumble Inc","USA",1884.36,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,13.80,0.30%,1.37%,1.52%,1.83%,2.77%,3.09%,2.93%,-0.85%,1.06%,1.06%,16.99%,14.97%,5.03%,80.05%,-23.92%,48.78%,0.33,3.98%,4.13%,19.06%,6.95%,13.37%,5/14/2024 4:30:00 PM,-1.33%,13.97%,1138.40,13.87,789685,5.94,6.77,7.29,6.37,6.68,12.46%,
