"No.","Ticker","Company","Country","Market Cap","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"IVP","Inspire Veterinary Partners Inc.","USA",10.80,0.95,4.58%,0.00%,1.24%,,39.57%,0.38,0.00%,0.00%,0.28%,0.66%,-4.42%,-1.99%,-7.45%,16.76%,16.76%,16.76%,263.66%,506.78%,112.19%,-39.49%,,-68.67%,1.66,97.88%,46.67%,308.57%,281.77%,-63.81%,,17.78%,-13.25%,3201.59,3.23,517636,10.57,9.17,12.49,9.06,10.80,2.18%,
2,"CGBS","Crown LNG Holdings Ltd .","United Kingdom",32.77,1.36,84.60%,0.00%,9.76%,-6.10%,0.02%,0.00,0.00%,1.89%,2.17%,0.78%,-1.63%,-0.30%,-3.18%,-7.07%,-7.07%,-7.07%,-55.44%,-68.45%,-67.44%,-66.50%,-63.20%,-66.77%,1.75,60.13%,31.70%,-54.54%,-63.48%,-65.38%,,-9.12%,18.66%,321.93,280.98,4522776,3.43,4.07,4.08,3.55,3.70,7.83%,
3,"MLGO","MicroAlgo Inc","China",28.84,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,2.30,0.26%,-0.24%,0.80%,1.88%,-1.02%,-2.29%,-6.88%,7.67%,7.67%,7.67%,-40.78%,-13.47%,35.36%,-50.96%,-84.01%,-58.44%,2.75,40.44%,45.33%,-55.36%,-27.66%,-71.52%,,7.67%,2.33%,8718.83,2.43,1060335,3.44,3.52,4.13,3.49,3.79,10.17%,
4,"PHUN","Phunware Inc","USA",57.49,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,-3.76%,-4.91%,-5.17%,-6.89%,-7.01%,-7.73%,-12.25%,-11.17%,-11.17%,-11.17%,24.74%,23.88%,-1.51%,90.43%,-64.11%,74.63%,0.57,5.96%,7.59%,27.87%,15.54%,-13.46%,5/9/2024 4:30:00 PM,-12.68%,40.65%,364.42,149.66,2726964,5.83,8.20,8.35,7.03,7.16,22.81%,
5,"MIRA","Mira Pharmaceuticals Inc","USA",15.52,9.75,34.05%,0.17%,4.20%,,0.16%,0.02,-1.86%,-2.77%,-5.40%,-5.40%,0.97%,14.14%,25.01%,67.03%,67.03%,67.03%,91.69%,41.91%,16.61%,6.62%,,0.01%,0.10,11.12%,7.87%,61.56%,43.06%,-30.39%,05/29/2024,67.03%,6.70%,114.26,1766.13,10089823,0.59,0.63,1.25,0.63,1.05,78.22%,
6,"MWG","Multi Ways Holdings Ltd","Singapore",18.20,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,0.00%,0.20%,0.20%,0.20%,0.20%,-2.43%,1.72%,10.45%,10.45%,10.45%,31.37%,56.08%,88.50%,118.92%,-4.05%,162.57%,0.08,24.24%,19.13%,57.60%,64.79%,83.44%,,13.68%,-2.61%,839.99,22.85,959755,0.53,0.52,0.65,0.51,0.59,10.71%,
7,"CDT","Conduit Pharmaceuticals Inc","USA",21.34,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.07,0.00%,-0.69%,-0.34%,-0.07%,-0.34%,-0.34%,1.05%,0.28%,0.28%,0.28%,-42.20%,-86.56%,-90.91%,-93.55%,-97.24%,-93.65%,0.22,34.09%,31.28%,-72.15%,-86.68%,-90.22%,,0.28%,9.79%,259.24,15.25,197707,0.26,0.29,0.30,0.28,0.29,10.10%,
8,"DJT","Trump Media & Technology Group Corp.","USA",8623.28,47.29,75.10%,0.00%,1.19%,3.55%,11.04%,5.22,0.27%,-0.48%,-0.81%,0.13%,-0.09%,0.33%,-1.37%,-4.32%,-4.32%,-4.32%,49.74%,10.92%,39.31%,168.32%,247.89%,159.43%,4.77,6.09%,10.69%,39.50%,8.85%,42.29%,5/20/2024 8:30:00 AM,-8.95%,61.41%,6832.51,32.29,11030123,30.89,49.86,54.47,44.30,45.40,46.97%,
9,"RUM","Rumble Inc","USA",1864.61,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,13.80,2.16%,2.16%,2.16%,2.16%,2.32%,2.32%,-0.15%,0.00%,0.00%,0.00%,15.76%,13.77%,3.93%,78.17%,-24.72%,47.22%,0.31,3.98%,4.13%,17.81%,5.82%,12.18%,5/14/2024 4:30:00 PM,-2.36%,13.97%,1138.40,11.19,636669,5.94,6.77,6.95,6.44,6.61,11.28%,
10,"LODE","Comstock Inc","USA",24.80,126.38,8.58%,13.00%,6.85%,-7.01%,1.16%,1.47,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.79%,-0.39%,-0.39%,-0.39%,15.74%,-12.49%,-44.20%,-65.43%,-74.60%,-67.26%,0.02,12.09%,9.72%,5.77%,-16.70%,-52.62%,4/30/2024 8:30:00 AM,-0.39%,0.90%,1657.43,2.16,179001,0.18,0.18,0.18,0.18,0.18,0.50%,
