"No.","Ticker","Company","Country","Market Cap","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"IVP","Inspire Veterinary Partners Inc.","USA",10.92,0.95,4.58%,0.00%,1.24%,,39.57%,0.38,0.09%,0.92%,-3.36%,1.87%,-5.86%,-1.18%,13.28%,18.05%,18.05%,18.05%,267.68%,513.48%,114.54%,-38.82%,,-68.32%,1.65,97.88%,46.67%,313.09%,285.99%,-63.41%,,19.08%,-13.25%,3201.59,2.21,353209,10.57,9.17,12.39,9.17,10.92,3.31%,
2,"CGBS","Crown LNG Holdings Ltd .","United Kingdom",32.78,1.36,84.60%,0.00%,9.76%,-6.10%,0.02%,0.00,-0.54%,-0.54%,-1.07%,-1.60%,0.27%,-3.14%,-1.33%,-7.04%,-7.04%,-7.04%,-55.42%,-68.44%,-67.43%,-66.49%,-63.18%,-66.76%,1.75,60.13%,31.70%,-54.52%,-63.47%,-65.36%,,-9.09%,18.66%,321.93,266.30,4286492,3.43,4.07,4.08,3.56,3.70,7.87%,
3,"PHUN","Phunware Inc","USA",62.39,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,0.13%,-0.51%,-0.51%,1.83%,-0.77%,-4.78%,-0.26%,-3.60%,-3.60%,-3.60%,35.37%,34.43%,6.88%,106.65%,-61.05%,89.51%,0.57,5.96%,7.59%,38.76%,25.39%,-6.09%,5/9/2024 4:30:00 PM,-5.24%,40.65%,364.42,124.00,2259368,5.83,8.20,8.27,7.52,7.77,33.28%,
4,"MIRA","Mira Pharmaceuticals Inc","USA",13.57,9.75,34.05%,0.17%,4.20%,,0.16%,0.02,0.86%,-2.57%,0.32%,-1.03%,-0.68%,9.29%,29.30%,46.02%,46.02%,46.02%,67.58%,24.05%,1.94%,-6.79%,,-12.57%,0.10,11.12%,7.87%,41.24%,25.07%,-39.15%,05/29/2024,46.02%,6.70%,114.26,594.59,3396834,0.59,0.63,1.25,0.63,0.92,55.80%,
5,"MWG","Multi Ways Holdings Ltd","Singapore",18.97,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,-2.29%,4.63%,4.63%,-0.65%,6.03%,9.84%,19.74%,15.13%,15.13%,15.13%,36.94%,62.70%,96.49%,128.20%,0.02%,173.70%,0.08,24.24%,19.13%,64.28%,71.77%,91.21%,,18.50%,-2.61%,839.99,14.41,605371,0.53,0.52,0.64,0.51,0.62,15.41%,
6,"CDT","Conduit Pharmaceuticals Inc","USA",21.34,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.07,0.00%,-0.34%,-0.34%,1.05%,1.05%,0.70%,0.70%,0.28%,0.28%,0.28%,-42.20%,-86.56%,-90.91%,-93.55%,-97.24%,-93.65%,0.22,34.09%,31.28%,-72.15%,-86.68%,-90.22%,,0.28%,9.79%,259.24,11.05,143252,0.26,0.29,0.29,0.28,0.29,10.10%,
7,"DJT","Trump Media & Technology Group Corp.","USA",8630.87,47.29,75.10%,0.00%,1.19%,3.55%,11.04%,5.22,0.31%,-0.46%,-0.96%,1.20%,-1.05%,-1.28%,0.91%,-4.24%,-4.24%,-4.24%,49.87%,11.02%,39.43%,168.56%,248.20%,159.66%,4.44,6.09%,10.69%,39.62%,8.94%,42.41%,5/20/2024 8:30:00 AM,-8.86%,61.41%,6832.51,27.27,9315059,30.89,49.86,49.86,44.90,45.44,47.10%,
8,"RUM","Rumble Inc","USA",1822.30,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,13.80,-0.46%,-0.77%,-0.77%,-0.77%,-2.42%,-1.37%,-2.12%,-2.27%,-2.27%,-2.27%,13.13%,11.19%,1.57%,74.12%,-26.42%,43.88%,0.30,3.98%,4.13%,15.14%,3.42%,9.63%,5/14/2024 4:30:00 PM,-4.58%,13.97%,1138.40,9.52,541818,5.94,6.77,6.83,6.46,6.46,8.75%,
