"No.","Ticker","Company","Country","Market Cap","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"CGBS","Crown LNG Holdings Ltd .","United Kingdom",33.31,1.36,84.60%,0.00%,9.76%,-6.10%,0.02%,0.00,0.26%,1.62%,1.08%,1.62%,0.01%,1.67%,1.62%,-1.57%,-5.53%,-5.53%,-54.70%,-67.93%,-66.90%,-65.94%,-62.59%,-66.22%,1.75,60.13%,31.70%,-53.79%,-62.88%,-64.80%,,-7.62%,18.66%,321.93,291.17,4686823,3.43,4.07,4.08,3.55,3.76,9.62%,
2,"MLGO","MicroAlgo Inc","China",27.62,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,2.30,0.28%,0.28%,0.28%,0.28%,0.00%,-2.68%,-3.97%,-9.70%,3.12%,3.12%,-43.28%,-17.12%,29.64%,-53.03%,-84.68%,-60.20%,2.75,40.44%,45.33%,-57.24%,-30.71%,-72.72%,,3.13%,2.33%,8718.83,2.93,1278841,3.44,3.52,4.13,3.49,3.63,5.52%,
3,"PHUN","Phunware Inc","USA",62.31,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,0.00%,1.70%,1.31%,3.19%,5.58%,2.65%,-2.66%,-4.90%,-3.72%,-3.72%,35.19%,34.26%,6.74%,106.38%,-61.10%,89.27%,0.61,5.96%,7.59%,38.58%,25.23%,-6.21%,5/9/2024 4:30:00 PM,-5.37%,40.65%,364.42,169.25,3083939,5.83,8.20,8.90,7.03,7.76,33.10%,
4,"AMIX","Autonomix Medical Inc.","USA",23.87,8.19,56.40%,0.00%,0.18%,,0.39%,0.03,0.84%,0.82%,-1.53%,0.82%,-12.99%,-17.51%,58.99%,58.99%,58.99%,58.99%,138.78%,-9.91%,-55.58%,,,-74.94%,0.24,10.71%,21.16%,36.44%,-29.00%,-54.95%,,115.20%,-4.48%,465.28,592.32,13779926,0.62,0.59,1.57,0.58,1.27,105.55%,
5,"MIRA","Mira Pharmaceuticals Inc","USA",13.76,9.75,34.05%,0.17%,4.20%,,0.16%,0.02,-1.26%,-4.01%,-6.42%,-0.96%,0.42%,0.12%,-12.17%,10.85%,48.10%,48.10%,69.97%,25.82%,3.40%,-5.46%,,-11.32%,0.11,11.12%,7.87%,43.25%,26.85%,-38.28%,05/29/2024,48.10%,6.70%,114.26,2351.40,13433416,0.59,0.63,1.25,0.57,0.93,58.03%,
6,"MWG","Multi Ways Holdings Ltd","Singapore",17.92,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,0.17%,-3.15%,-1.53%,-5.53%,0.26%,-4.77%,-2.97%,0.17%,8.76%,8.76%,29.37%,53.70%,85.62%,115.58%,-5.51%,158.57%,0.08,24.24%,19.13%,55.20%,62.28%,80.64%,,11.95%,-2.61%,839.99,28.94,1215464,0.53,0.52,0.65,0.51,0.58,9.03%,
7,"CDT","Conduit Pharmaceuticals Inc","USA",20.69,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.07,0.00%,0.00%,0.00%,0.00%,0.04%,-3.34%,-3.68%,-2.13%,-2.74%,-2.74%,-43.94%,-86.96%,-91.19%,-93.74%,-97.32%,-93.84%,0.22,34.09%,31.28%,-72.98%,-87.08%,-90.52%,,-2.74%,9.79%,259.24,19.28,249955,0.26,0.29,0.30,0.28,0.28,6.78%,
8,"DJT","Trump Media & Technology Group Corp.","USA",8691.65,47.29,75.10%,0.00%,1.19%,3.55%,11.04%,5.22,-0.15%,0.13%,0.22%,-0.33%,1.08%,-0.97%,0.35%,-0.59%,-3.56%,-3.56%,50.92%,11.80%,40.41%,170.45%,250.65%,161.49%,4.77,6.09%,10.69%,40.61%,9.71%,43.42%,5/20/2024 8:30:00 AM,-8.22%,61.41%,6832.51,37.85,12931612,30.89,49.86,54.47,37.40,45.76,48.14%,
9,"RUM","Rumble Inc","USA",1827.94,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,13.80,0.46%,0.00%,0.47%,0.47%,0.62%,0.47%,-3.82%,-2.11%,-1.97%,-1.97%,13.49%,11.53%,1.89%,74.66%,-26.20%,44.32%,0.33,3.98%,4.13%,15.50%,3.74%,9.97%,5/14/2024 4:30:00 PM,-4.28%,13.97%,1138.40,12.16,692377,5.94,6.77,7.29,6.37,6.48,9.09%,
10,"SMR","NuScale Power Corporation","USA",1456.48,77.81,12.11%,-1.57%,32.33%,4.26%,19.19%,14.93,0.00%,0.24%,0.30%,0.38%,0.94%,1.92%,3.61%,3.46%,3.46%,3.46%,20.16%,94.67%,212.14%,602.99%,109.02%,400.00%,1.27,11.69%,11.76%,46.60%,86.33%,220.71%,8/8/2024 4:30:00 PM,3.39%,3.72%,5219.98,2.31,603661,15.34,15.91,16.45,15.40,16.45,7.24%,
