"No.","Ticker","Company","Country","Market Cap","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
14,"MSTR","Microstrategy Inc.","USA",27177.68,15.76,11.13%,-18.22%,55.57%,-3.18%,17.43%,2.75,0.35%,0.09%,0.07%,-0.55%,0.68%,-0.10%,1.47%,1.93%,0.39%,2.41%,18.71%,-4.47%,3.54%,185.72%,231.72%,142.55%,100.87,5.69%,6.51%,9.21%,5.94%,61.71%,8/1/2024 4:30:00 PM,0.86%,8.75%,1313.79,3.35,541557,1396.76,1518.99,1548.71,1492.43,1532.00,9.68%,
15,"HLVX","HilleVax Inc","USA",87.26,16.76,66.28%,-0.37%,32.21%,-0.53%,9.99%,1.67,0.29%,0.00%,-0.25%,0.25%,0.29%,-0.25%,0.29%,0.83%,1.74%,1.74%,7.01%,-87.98%,-88.33%,-88.32%,-88.61%,-89.07%,1.32,16.88%,10.14%,-83.79%,-86.06%,-87.45%,5/9/2024 4:30:00 PM,0.29%,0.00%,833.94,2.46,252598,1.75,1.75,1.77,1.74,1.75,0.29%,
16,"RGR","Sturm, Ruger & Co., Inc.","USA",795.35,16.97,2.45%,-2.10%,66.79%,-1.32%,3.13%,0.53,-0.14%,-0.17%,-0.40%,-0.51%,-0.52%,-0.94%,3.98%,5.20%,5.27%,6.28%,11.24%,6.45%,-0.02%,3.21%,-15.18%,0.57%,1.04,1.55%,1.71%,9.65%,6.49%,0.53%,5/7/2024 4:30:00 PM,4.94%,5.32%,152.85,6.18,116240,41.36,43.56,46.40,43.43,45.71,10.52%,
17,"PSQH","PSQ Holdings Inc","USA",126.19,17.34,44.77%,0.00%,11.08%,4.87%,6.25%,1.08,0.50%,-1.23%,-0.25%,0.00%,-3.13%,-3.13%,-7.16%,-11.26%,-5.06%,-9.66%,12.61%,14.86%,-11.26%,-19.11%,-60.55%,-23.28%,0.30,8.10%,8.74%,13.32%,10.51%,-19.54%,5/15/2024 8:30:00 AM,-9.46%,12.98%,85.58,11.22,118202,3.93,4.44,4.39,4.00,4.02,2.29%,
18,"TNXP","Tonix Pharmaceuticals Holding Corp","USA",10.52,17.45,0.00%,,4.27%,216.69%,10.26%,1.79,0.00%,0.00%,0.00%,-1.08%,0.33%,0.02%,-2.74%,-2.74%,-2.57%,-2.57%,-15.36%,-45.68%,-88.40%,-93.32%,-98.98%,-95.32%,0.21,9.12%,12.18%,-34.78%,-82.49%,-94.12%,5/13/2024 4:30:00 PM,-2.58%,2.94%,1201.41,2.50,369382,0.60,0.62,0.62,0.60,0.60,0.28%,
19,"ICFI","ICF International, Inc","USA",2521.37,18.47,1.44%,-3.39%,94.04%,2.21%,0.91%,0.17,-0.22%,0.06%,0.06%,-0.02%,-0.62%,1.09%,1.47%,2.08%,2.08%,2.08%,1.34%,-6.15%,-6.34%,2.27%,16.56%,0.34%,3.60,2.25%,2.68%,-3.26%,-5.84%,-3.51%,8/1/2024 4:30:00 PM,1.54%,-0.27%,102.13,9.27,116565,132.86,132.50,135.36,132.09,134.54,1.27%,
20,"GLTO","Galecto Inc","USA",17.35,19.94,26.47%,0.00%,5.59%,0.55%,0.15%,0.03,3.23%,6.67%,6.67%,11.75%,13.52%,6.84%,18.52%,14.29%,10.69%,10.69%,25.98%,20.73%,-6.02%,-10.43%,-74.19%,-11.11%,0.04,5.84%,7.60%,27.38%,11.02%,-0.88%,04/26/2024,18.52%,-0.92%,143.47,12.35,218144,0.55,0.54,0.64,0.54,0.64,17.43%,
21,"BTDR","Bitdeer Technologies Holding Co","Hong Kong",1584.90,21.26,84.70%,0.00%,3.28%,-0.06%,12.92%,2.75,-0.05%,0.13%,0.22%,-0.13%,0.54%,0.13%,3.40%,1.74%,2.71%,2.01%,-8.18%,39.76%,88.82%,58.62%,-17.00%,15.67%,1.12,11.97%,12.92%,10.19%,45.41%,65.58%,5/13/2024 8:30:00 AM,2.47%,5.30%,1619.26,3.09,615932,10.57,11.13,11.67,11.02,11.40,7.90%,
22,"TRAW","Traws Pharma Inc.","USA",10.38,21.85,13.68%,0.00%,10.91%,-3.31%,0.12%,0.03,0.00%,0.00%,0.00%,-4.63%,0.00%,-3.51%,-1.87%,-2.38%,2.50%,2.50%,11.63%,-32.21%,-42.54%,14.72%,-28.70%,9.98%,0.05,11.95%,12.41%,-6.38%,-25.92%,-5.31%,5/16/2024 8:30:00 AM,0.00%,3.02%,88.65,12.29,134047,0.40,0.41,0.43,0.40,0.41,3.02%,
23,"RDW","Redwire Corporation","USA",510.87,22.45,65.76%,0.00%,9.56%,-5.97%,10.42%,2.34,0.19%,0.19%,0.13%,0.00%,1.04%,-0.08%,-0.76%,-1.39%,0.26%,0.26%,12.57%,29.40%,101.81%,167.70%,154.58%,173.33%,0.41,5.06%,7.40%,16.76%,38.65%,109.30%,5/8/2024 4:30:00 PM,-1.64%,2.59%,398.51,2.66,130618,7.72,7.92,7.98,7.62,7.79,0.91%,
24,"NINE","Nine Energy Service Inc","USA",61.82,24.65,30.23%,7.30%,56.35%,10.82%,12.36%,3.05,1.76%,1.20%,1.35%,2.06%,2.36%,0.59%,0.59%,2.96%,2.96%,2.96%,4.81%,20.71%,-37.93%,-32.16%,-65.81%,-34.69%,0.12,6.22%,8.24%,8.92%,1.64%,-27.36%,8/6/2024 4:30:00 PM,0.59%,6.10%,626.40,3.30,254304,1.64,1.74,1.79,1.70,1.75,6.73%,
25,"GRYP","Gryphon Digital Mining Inc.","USA",45.16,24.78,36.90%,-0.48%,7.76%,-2.58%,0.63%,0.16,0.00%,0.00%,0.00%,0.14%,0.88%,0.88%,2.68%,-1.68%,0.00%,0.00%,0.88%,-14.18%,-21.77%,-84.03%,-91.34%,-86.78%,0.09,5.44%,7.08%,-2.75%,-14.36%,-68.25%,4/2/2024 8:30:00 AM,0.00%,3.60%,374.47,2.87,132357,1.11,1.15,1.15,1.12,1.15,3.60%,
26,"AN","Autonation Inc.","USA",7033.96,25.85,35.81%,-4.46%,65.27%,-2.65%,11.13%,2.88,-0.34%,-0.59%,-0.28%,-0.46%,-0.07%,1.76%,2.66%,3.63%,4.11%,9.16%,9.87%,3.10%,13.34%,23.57%,-1.96%,16.31%,4.41,2.53%,2.39%,8.08%,5.77%,16.39%,4/26/2024 8:30:00 AM,2.45%,0.01%,428.34,2.04,107572,170.48,170.50,176.32,169.61,174.67,2.46%,
27,"INOD","Innodata Inc","USA",558.33,26.71,7.10%,0.00%,37.68%,-6.36%,10.53%,2.81,0.41%,0.52%,0.88%,1.78%,5.72%,5.09%,10.82%,10.97%,12.25%,12.25%,15.25%,19.51%,206.79%,157.22%,76.07%,138.57%,1.13,8.24%,6.77%,28.33%,46.74%,111.25%,5/7/2024 4:30:00 PM,10.40%,3.96%,814.06,3.34,334214,16.92,17.59,19.43,17.42,19.42,14.78%,
28,"AZ","A2Z Smart Technologies Corp.","Canada",37.60,27.00,34.48%,0.00%,4.32%,,0.10%,0.03,-0.26%,-0.26%,0.82%,0.02%,1.39%,-0.50%,-0.67%,15.80%,9.95%,9.95%,98.37%,129.44%,114.81%,-16.28%,-60.67%,-33.39%,0.07,23.78%,13.10%,109.24%,120.16%,-3.64%,5/15/2024 8:30:00 AM,7.35%,2.05%,120.26,9.82,145374,0.83,0.85,0.95,0.85,0.91,9.56%,
29,"AEHR","Aehr Test Systems","USA",473.55,27.11,6.23%,-0.48%,64.42%,35.54%,21.56%,5.85,1.05%,0.92%,-0.55%,-1.36%,0.74%,1.24%,0.25%,3.74%,2.63%,3.08%,27.97%,18.27%,40.00%,-10.15%,-60.46%,-38.26%,1.03,11.27%,7.41%,35.39%,37.01%,-15.66%,7/16/2024 4:30:00 PM,3.47%,0.51%,967.60,5.97,711448,15.75,15.83,16.74,15.81,16.38,4.00%,
30,"BIG","Big Lots Inc","USA",31.61,28.12,5.27%,0.00%,75.30%,-12.33%,27.18%,7.64,-0.47%,-0.52%,-0.76%,-1.84%,0.48%,3.05%,0.95%,-1.39%,-1.39%,-0.47%,-23.38%,-55.25%,-69.13%,-84.03%,-88.23%,-86.33%,0.22,19.21%,12.55%,-36.06%,-60.64%,-75.84%,6/6/2024 8:30:00 AM,0.47%,1.92%,1968.55,2.43,589577,1.04,1.06,1.11,1.01,1.07,2.40%,
31,"ORN","Orion Group Holdings Inc","USA",329.42,30.09,8.42%,-0.16%,71.41%,0.89%,2.33%,0.70,0.15%,0.02%,0.07%,0.05%,1.01%,-0.79%,1.67%,1.67%,1.67%,1.67%,21.96%,-4.07%,24.53%,113.75%,216.25%,102.94%,0.53,5.37%,5.78%,9.18%,9.81%,47.27%,7/24/2024 4:30:00 PM,1.26%,2.80%,492.64,2.35,142743,9.63,9.90,10.17,9.80,10.02,4.10%,
32,"CKPT","Checkpoint Therapeutics Inc","USA",91.01,30.34,20.34%,-0.79%,14.50%,1.28%,12.63%,3.83,0.00%,-0.60%,-0.60%,0.84%,-1.64%,-1.95%,1.27%,0.00%,-1.88%,-1.88%,8.64%,18.32%,34.27%,26.46%,-10.82%,4.37%,0.14,5.43%,7.80%,14.03%,25.72%,20.49%,5/10/2024 8:30:00 AM,1.70%,0.00%,379.81,4.77,218514,2.35,2.35,2.45,2.31,2.39,1.70%,
33,"ANIX","Anixa Biosciences Inc","USA",96.99,30.44,4.90%,7.46%,16.39%,6.48%,1.77%,0.54,0.66%,0.66%,-1.29%,0.66%,-0.98%,0.17%,6.32%,1.68%,4.48%,4.48%,33.48%,14.77%,-4.42%,-32.21%,-4.72%,-21.91%,0.17,8.78%,6.25%,25.00%,16.03%,-9.36%,06/07/2024,6.32%,2.89%,85.00,9.57,100153,2.77,2.85,3.08,2.85,3.03,9.39%,
34,"TH","Target Hospitality Corp","USA",917.56,31.68,68.41%,0.00%,28.58%,6.83%,3.73%,1.18,-0.44%,-0.44%,-0.22%,-0.54%,-1.98%,-0.97%,1.33%,0.55%,-1.08%,-1.08%,5.05%,20.08%,-14.57%,-0.33%,-29.29%,-5.96%,0.38,2.54%,3.89%,11.69%,-7.87%,-14.82%,5/8/2024 8:30:00 AM,0.99%,1.00%,628.72,2.78,215413,8.97,9.06,9.36,8.98,9.15,2.01%,
35,"SLDB","Solid Biosciences Inc","USA",352.71,31.76,17.24%,0.01%,78.12%,-0.60%,9.60%,3.05,0.33%,0.44%,0.38%,2.11%,2.46%,0.46%,-2.11%,6.00%,5.63%,6.24%,36.15%,15.89%,-11.38%,19.35%,80.20%,49.67%,0.76,12.90%,10.71%,37.62%,15.44%,30.62%,05/09/2024,5.15%,10.49%,424.24,4.62,241474,7.91,8.74,9.37,8.75,9.19,16.18%,
36,"VERI","Veritone Inc","USA",124.30,32.43,14.18%,0.00%,34.37%,1.22%,16.56%,5.37,0.92%,0.61%,-0.30%,0.13%,0.57%,0.65%,6.99%,7.97%,11.53%,11.53%,18.35%,22.76%,-32.30%,99.39%,-24.71%,81.77%,0.26,10.87%,9.19%,27.51%,14.58%,21.36%,5/7/2024 4:30:00 PM,6.82%,0.82%,836.82,3.13,322367,3.06,3.08,3.35,3.06,3.29,7.69%,
37,"SKWD","Skyward Specialty Insurance Group Inc","USA",1498.43,32.83,17.91%,-42.74%,72.19%,,3.92%,1.29,0.29%,0.32%,0.59%,0.46%,0.82%,1.02%,1.20%,1.20%,2.66%,1.49%,3.54%,8.04%,4.58%,13.82%,50.18%,10.60%,0.97,2.04%,2.55%,5.07%,3.41%,11.47%,8/5/2024 4:30:00 PM,1.65%,2.25%,414.88,2.07,105501,36.05,36.86,37.47,36.79,37.47,3.94%,
38,"MORF","Morphic Holding Inc","USA",2796.58,38.42,23.32%,-1.36%,92.19%,-1.45%,15.52%,5.96,0.00%,0.00%,-0.01%,0.02%,-0.04%,-0.11%,-0.09%,-0.13%,-0.13%,-0.13%,0.14%,94.09%,94.77%,101.66%,-4.47%,93.28%,2.43,0.44%,4.86%,52.08%,71.34%,88.99%,4/25/2024 8:30:00 AM,-0.07%,0.14%,1869.37,2.72,625632,55.78,55.86,55.89,55.80,55.82,0.07%,
39,"DAKT","Daktronics Inc.","USA",663.48,40.12,18.76%,-0.62%,67.10%,-3.07%,9.27%,3.72,0.14%,0.32%,-0.17%,0.42%,1.99%,2.83%,1.85%,1.00%,0.99%,0.99%,4.45%,24.18%,51.16%,77.13%,110.74%,68.99%,0.61,4.14%,5.11%,14.07%,22.50%,47.64%,6/26/2024 8:30:00 AM,2.21%,0.86%,465.30,2.00,114723,13.90,14.02,14.39,13.90,14.33,3.09%,
40,"FTF","Franklin Limited Duration Income Trust","USA",266.47,40.41,,,47.45%,,0.07%,0.03,0.00%,-0.08%,-0.08%,0.06%,0.15%,0.30%,0.84%,0.84%,0.69%,0.69%,3.05%,2.73%,6.72%,2.89%,5.82%,6.03%,0.06,0.83%,0.91%,3.33%,4.07%,5.81%,,0.84%,0.54%,167.78,6.11,126201,6.51,6.54,6.60,6.54,6.59,1.38%,
41,"OSBC","Old Second Bancorporation Inc.","USA",712.89,40.73,9.17%,-1.47%,62.21%,-2.25%,1.81%,0.74,0.09%,0.09%,0.09%,0.28%,0.60%,0.60%,4.92%,4.92%,4.92%,4.92%,9.47%,12.49%,18.44%,6.04%,15.52%,2.95%,0.39,2.64%,2.48%,9.84%,10.65%,12.02%,4/17/2024 4:30:00 PM,1.31%,1.10%,200.32,6.41,158023,15.52,15.69,15.98,15.15,15.90,2.42%,
42,"CFB","Crossfirst Bankshares Inc","USA",764.00,41.37,16.07%,0.00%,54.96%,-9.68%,2.35%,0.97,0.13%,0.26%,0.29%,0.32%,-0.83%,0.19%,0.91%,0.91%,1.77%,1.77%,11.11%,19.69%,22.05%,16.54%,42.73%,14.14%,0.36,2.49%,2.52%,12.70%,16.50%,22.96%,7/15/2024 4:30:00 PM,1.64%,0.13%,209.94,5.05,130453,15.23,15.25,15.64,15.25,15.50,1.77%,
43,"SILA","Sila Realty Trust Inc","USA",959.55,42.00,1.02%,0.00%,0.32%,-6.53%,0.06%,0.02,0.07%,0.02%,-0.06%,-0.37%,-0.42%,-0.21%,1.00%,1.19%,1.87%,1.87%,5.68%,19.03%,-12.07%,,,3.74%,1.22,2.47%,4.60%,5.45%,14.63%,4.18%,,0.87%,-0.31%,712.98,2.01,176068,22.49,22.42,22.82,22.30,22.61,0.56%,
44,"GCMG","GCM Grosvenor Inc","USA",460.77,42.97,2.84%,0.00%,100.52%,0.33%,5.93%,2.55,-0.05%,-0.05%,-0.05%,0.00%,0.29%,0.10%,-0.10%,-0.10%,0.48%,0.48%,4.93%,6.44%,10.50%,19.63%,35.32%,16.29%,0.20,1.90%,1.80%,6.66%,6.16%,16.86%,5/7/2024 8:30:00 AM,-0.10%,0.58%,149.29,9.07,166563,10.37,10.43,10.45,10.38,10.42,0.48%,
45,"TERN","Terns Pharmaceuticals Inc","USA",644.86,42.98,33.54%,-1.90%,76.42%,32.53%,6.25%,2.69,-0.05%,-0.10%,0.30%,0.76%,1.22%,2.36%,5.61%,5.61%,4.95%,4.95%,32.40%,34.91%,93.97%,70.14%,21.88%,53.62%,0.67,10.56%,8.63%,34.50%,49.18%,66.19%,5/13/2024 8:30:00 AM,4.98%,2.01%,1099.21,2.11,285468,9.31,9.50,9.99,9.44,9.97,7.09%,
46,"EXFY","Expensify Inc","USA",198.70,43.72,49.25%,-0.43%,35.11%,-1.51%,4.12%,1.80,0.00%,0.00%,1.53%,1.32%,3.33%,5.02%,2.68%,-0.86%,-0.43%,-2.54%,58.62%,57.53%,60.84%,15.58%,-71.83%,-6.88%,0.17,14.41%,9.49%,45.94%,42.66%,13.05%,5/9/2024 4:30:00 PM,0.22%,2.46%,1021.12,2.31,290477,2.24,2.30,2.30,2.16,2.30,2.68%,
47,"SWBI","Smith & Wesson Brands Inc","USA",721.21,44.63,2.03%,-2.23%,60.24%,-3.47%,2.69%,1.20,0.09%,0.56%,-0.13%,0.14%,0.83%,-0.40%,4.35%,6.24%,7.69%,7.91%,12.99%,-2.46%,-5.49%,16.06%,18.75%,16.74%,0.47,1.54%,2.52%,7.18%,0.73%,6.97%,6/20/2024 4:30:00 PM,4.35%,8.20%,400.95,12.96,639645,14.02,15.17,16.02,15.13,15.83,12.91%,
48,"SACH","Sachem Capital Corp","USA",134.61,45.33,4.47%,0.00%,24.39%,-0.40%,2.15%,0.98,-0.10%,-0.10%,0.06%,0.06%,0.24%,-0.64%,0.60%,1.31%,-1.16%,-1.16%,12.13%,-1.84%,-11.63%,-24.75%,-22.91%,-24.15%,0.08,2.87%,3.07%,7.27%,-2.70%,-18.02%,5/10/2024 8:30:00 AM,1.31%,-0.36%,316.80,3.03,115740,2.81,2.80,2.86,2.82,2.84,0.95%,
49,"TRIN","Trinity Capital Inc","USA",711.40,46.27,6.48%,0.10%,22.68%,12.19%,3.15%,1.46,0.26%,0.26%,0.26%,0.26%,0.44%,0.54%,-0.09%,0.47%,0.20%,0.54%,1.75%,-4.09%,-0.57%,-1.73%,-3.10%,-1.05%,0.21,1.38%,1.48%,-0.66%,-2.17%,-0.78%,5/1/2024 8:30:00 AM,0.12%,0.42%,428.14,3.09,162884,14.30,14.36,14.39,14.29,14.38,0.54%,
50,"DJT","Trump Media & Technology Group Corp.","USA",7875.01,47.29,75.10%,0.00%,1.19%,3.55%,11.04%,5.22,0.78%,-0.04%,-0.24%,1.77%,5.12%,7.66%,-3.89%,-11.94%,-9.08%,-12.62%,36.74%,1.30%,27.22%,145.04%,217.70%,136.92%,4.19,6.09%,10.69%,27.40%,-0.60%,29.94%,5/20/2024 8:30:00 AM,-10.36%,49.72%,6832.51,44.60,37504123,30.89,46.25,46.26,38.06,41.46,34.22%,
51,"PLBY","PLBY Group Inc","USA",61.04,47.94,34.15%,-0.77%,11.26%,2.12%,5.23%,2.51,-1.94%,-0.20%,-0.20%,0.11%,3.17%,4.80%,6.13%,5.06%,10.00%,10.00%,5.99%,0.17%,-6.67%,-36.48%,-53.93%,-16.16%,0.05,5.44%,6.28%,6.71%,-4.21%,-4.39%,5/9/2024 4:30:00 PM,7.49%,0.12%,295.19,6.93,251758,0.78,0.78,0.86,0.77,0.84,7.61%,
52,"SMCI","Super Micro Computer Inc","USA",53643.30,50.20,14.27%,-0.48%,59.37%,2.20%,9.17%,4.60,-0.01%,0.35%,0.93%,-0.25%,-1.00%,-1.22%,-3.39%,-2.37%,-1.48%,-2.23%,1.86%,18.24%,1.95%,166.83%,211.53%,222.25%,57.32,5.94%,7.06%,5.33%,8.91%,46.69%,4/30/2024 4:30:00 PM,-2.69%,3.45%,6637.50,3.45,2816066,909.96,941.37,963.30,901.39,916.04,0.67%,
53,"RCAT","Red Cat Holdings Inc","USA",148.93,50.34,32.22%,0.00%,18.91%,3.30%,5.66%,2.85,-1.23%,-1.96%,-1.70%,1.47%,1.78%,4.41%,8.97%,9.58%,12.66%,12.64%,71.37%,100.50%,127.87%,164.93%,69.92%,127.84%,0.15,13.14%,11.50%,69.92%,79.50%,119.41%,3/18/2024 4:30:00 PM,11.39%,2.86%,918.75,8.25,932624,1.75,1.80,2.05,1.80,2.01,14.57%,
54,"SAIC","Science Applications International Corp.","USA",6127.11,50.52,1.40%,0.82%,77.14%,0.81%,1.70%,0.86,0.39%,0.16%,0.55%,0.59%,0.50%,1.03%,0.89%,1.81%,1.81%,1.81%,4.48%,2.45%,-3.22%,-6.36%,4.44%,-3.80%,2.11,1.37%,1.64%,3.18%,-3.83%,-3.73%,6/3/2024 8:30:00 AM,1.15%,0.42%,323.86,16.82,670318,117.74,118.24,119.41,117.68,119.60,1.58%,
55,"OXSQ","Oxford Square Capital Corp","USA",180.36,53.19,10.94%,0.00%,5.90%,,0.55%,0.29,0.04%,0.01%,0.00%,0.17%,-0.17%,-0.33%,-0.32%,-0.66%,-0.04%,-0.33%,1.00%,0.00%,-5.63%,0.00%,3.32%,5.59%,0.03,1.01%,1.14%,1.75%,-1.59%,-0.43%,5/2/2024 8:30:00 AM,0.00%,0.33%,278.80,5.79,198665,3.01,3.02,3.03,3.01,3.02,0.33%,
