"No.","Ticker","Company","Country","Market Cap","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"IVP","Inspire Veterinary Partners Inc.","USA",12.83,0.95,4.58%,0.00%,1.24%,,39.57%,0.38,-3.32%,-3.75%,0.94%,1.14%,-3.24%,-10.96%,18.91%,23.01%,17.71%,38.70%,331.99%,620.79%,152.06%,-28.12%,,-62.78%,1.73,97.88%,46.67%,385.34%,353.50%,-57.01%,,23.37%,-1.61%,3201.59,6.34,2499379,10.57,10.40,14.82,10.40,12.83,21.38%,
2,"UPC","Universe Pharmaceuticals INC","China",13.10,1.57,57.05%,0.00%,0.04%,-83.88%,0.84%,0.01,0.29%,2.52%,-2.49%,-1.15%,-1.15%,-3.28%,-0.60%,-10.29%,-6.31%,-4.57%,-3.54%,53.35%,108.62%,27.24%,61.64%,78.52%,0.42,20.80%,11.37%,27.32%,39.21%,95.41%,1/30/2024 4:30:00 PM,-7.04%,16.97%,62.31,18.42,141225,3.30,3.86,3.86,3.50,3.59,8.74%,
3,"CLDI","Calidi Biotherapeutics Inc","USA",10.79,4.52,29.65%,0.00%,3.80%,-86.33%,2.26%,0.10,-0.24%,3.44%,5.88%,8.80%,6.39%,5.06%,9.10%,4.40%,4.40%,4.40%,3.70%,-25.29%,-75.81%,-87.27%,-98.40%,-88.87%,0.28,13.31%,11.17%,-9.96%,-20.12%,-85.00%,5/14/2024 4:30:00 PM,4.31%,1.80%,204.33,4.40,110731,1.58,1.61,1.72,1.47,1.68,6.18%,
4,"ASNS","Actelis Networks Inc","USA",12.13,5.75,4.43%,0.00%,5.80%,-44.36%,7.28%,0.42,-0.77%,-0.74%,-1.71%,-2.66%,-5.37%,-2.18%,-0.74%,-4.92%,10.11%,9.51%,26.73%,34.33%,135.10%,69.33%,-41.93%,79.91%,0.33,11.39%,18.27%,20.33%,72.58%,80.32%,3/26/2024 4:30:00 PM,-0.25%,8.60%,4849.55,6.23,3718571,1.86,2.02,2.21,1.86,2.02,8.33%,
5,"MDAI","Spectral AI Inc","USA",33.74,7.38,57.80%,0.06%,16.00%,8.06%,5.90%,0.44,-0.52%,-1.03%,-1.03%,0.38%,-2.03%,-1.50%,1.31%,2.66%,1.58%,1.58%,-3.02%,14.88%,-3.50%,-24.31%,-82.00%,-21.54%,0.13,7.23%,7.17%,9.32%,12.89%,-15.41%,5/7/2024 4:30:00 PM,1.58%,0.53%,225.98,7.89,215168,1.89,1.90,2.03,1.90,1.93,2.12%,
6,"PHUN","Phunware Inc","USA",54.64,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,0.06%,0.35%,-0.67%,0.80%,1.85%,3.96%,-4.04%,-12.77%,-14.66%,-15.58%,18.53%,17.71%,-6.41%,80.95%,-65.90%,65.95%,0.51,5.96%,7.59%,21.51%,9.80%,-17.76%,5/9/2024 4:30:00 PM,-9.40%,28.82%,364.42,149.69,6713982,5.83,7.51,7.49,6.51,6.80,16.70%,
7,"AMIX","Autonomix Medical Inc.","USA",22.36,8.19,56.40%,0.00%,0.18%,,0.39%,0.03,0.00%,13.33%,8.68%,15.72%,17.99%,11.21%,26.99%,21.22%,48.94%,48.94%,123.68%,-15.60%,-58.39%,,,-76.53%,0.22,10.71%,21.16%,27.81%,-33.49%,-57.80%,,25.90%,52.94%,465.28,681.10,39003923,0.62,0.95,1.22,0.91,1.19,92.56%,
8,"MIRA","Mira Pharmaceuticals Inc","USA",11.48,9.75,34.05%,0.17%,4.20%,,0.16%,0.02,1.80%,2.04%,1.41%,-2.75%,-5.06%,-4.10%,-8.83%,-17.36%,-26.72%,23.56%,41.80%,4.97%,-13.74%,-21.13%,,-26.02%,0.09,11.12%,7.87%,19.51%,5.83%,-48.51%,05/29/2024,-11.73%,49.36%,114.26,1517.05,21333692,0.59,0.88,0.98,0.75,0.78,31.84%,
9,"MWG","Multi Ways Holdings Ltd","Singapore",18.34,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,-1.15%,-2.54%,-2.49%,-3.91%,6.20%,-11.34%,-5.57%,2.53%,-0.67%,11.34%,32.44%,57.35%,90.03%,120.71%,-3.27%,164.71%,0.09,24.24%,19.13%,58.88%,66.13%,84.93%,,-4.80%,17.25%,839.99,36.61,3710104,0.53,0.62,0.78,0.55,0.59,11.62%,
10,"HIBB","Hibbett Inc","USA",1044.19,11.56,3.27%,0.00%,104.74%,-7.97%,7.91%,0.91,0.01%,0.02%,0.02%,0.03%,0.06%,0.06%,0.00%,0.00%,0.05%,0.05%,0.17%,0.26%,22.62%,30.09%,131.96%,21.33%,0.26,0.12%,0.18%,0.26%,0.70%,24.10%,6/5/2024 8:30:00 AM,-0.02%,0.07%,569.61,2.39,167644,87.34,87.40,87.40,87.31,87.38,0.05%,
11,"CXDO","Crexendo Inc","USA",107.60,11.67,56.28%,-0.36%,12.65%,2.77%,1.38%,0.16,-0.00%,0.46%,0.43%,0.39%,-0.30%,1.77%,3.33%,2.04%,2.02%,2.28%,32.13%,30.84%,-12.39%,-16.57%,139.88%,-16.91%,0.26,8.99%,6.67%,27.40%,15.45%,2.48%,5/8/2024 4:30:00 PM,3.07%,1.82%,107.28,9.08,117466,3.84,3.91,4.14,3.80,4.03,4.95%,
12,"AEON","AEON Biopharma Inc.","USA",66.11,12.77,67.35%,0.00%,14.82%,4.33%,1.14%,0.15,-3.40%,-8.40%,-9.11%,-18.75%,-24.20%,-27.31%,3.36%,8.33%,19.02%,19.02%,65.69%,11.92%,-77.76%,-76.03%,-77.47%,-76.53%,0.25,9.93%,11.72%,48.19%,12.65%,-72.00%,5/14/2024 4:30:00 PM,-7.65%,30.71%,86.52,167.04,1778766,1.40,1.83,2.70,1.63,1.69,20.71%,
13,"SHIP","Seanergy Maritime Holdings Corp","Greece",179.90,13.66,24.90%,0.00%,13.47%,-87.03%,3.40%,0.46,-0.60%,-0.60%,-0.60%,-0.90%,1.02%,1.83%,0.61%,0.30%,-1.10%,-1.10%,-2.37%,-12.94%,14.95%,39.79%,84.86%,28.90%,0.46,4.01%,4.31%,-4.96%,-9.32%,21.81%,5/15/2024 8:30:00 AM,0.61%,-0.10%,303.40,2.79,104332,9.84,9.83,9.95,9.67,9.89,0.51%,
